"Time","H250"
2021-07-13 04:24:57,11 
2021-07-13 04:25:04,11 
2021-07-13 04:25:11,11 
2021-07-13 04:25:18,11 
2021-07-13 04:25:25,11 
2021-07-13 04:25:39,10.9 
2021-07-13 04:25:52,11 
2021-07-13 04:25:59,11 
2021-07-13 04:26:13,11 
2021-07-13 04:26:20,11 
2021-07-13 04:26:27,11 
2021-07-13 04:26:34,11 
2021-07-13 04:26:41,10.9 
2021-07-13 04:26:48,11 
2021-07-13 04:26:54,11 
2021-07-13 04:27:01,10.9 
2021-07-13 04:27:08,11 
2021-07-13 04:27:15,11 
2021-07-13 04:27:36,11 
2021-07-13 04:27:43,11 
2021-07-13 04:27:50,11 
2021-07-13 04:27:56,11 
2021-07-13 04:28:03,11 
2021-07-13 04:28:10,11 
2021-07-13 04:28:17,11 
2021-07-13 04:28:24,11 
2021-07-13 04:28:31,10.9 
2021-07-13 04:28:38,11 
2021-07-13 04:28:45,11 
2021-07-13 04:28:51,11 
2021-07-13 04:28:58,11 
2021-07-13 04:29:05,11 
2021-07-13 04:29:12,10.9 
2021-07-13 04:29:19,10.9 
2021-07-13 04:29:26,10.9 
2021-07-13 04:29:33,11 
2021-07-13 04:29:40,11 
2021-07-13 04:29:47,11 
2021-07-13 04:29:53,11 
2021-07-13 04:30:14,11 
2021-07-13 04:30:21,11 
2021-07-13 04:30:35,11 
2021-07-13 04:30:42,10.9 
2021-07-13 04:30:48,11 
2021-07-13 04:31:02,11 
2021-07-13 04:31:09,11 
2021-07-13 04:31:16,11 
2021-07-13 04:31:23,11 
2021-07-13 04:31:37,11 
2021-07-13 04:31:44,11 
2021-07-13 04:31:57,10.9 
2021-07-13 04:32:18,11 
2021-07-13 04:32:25,11 
2021-07-13 04:32:32,11 
2021-07-13 04:32:39,11 
2021-07-13 04:32:52,11 
2021-07-13 04:32:59,10.9 
2021-07-13 04:33:06,11 
2021-07-13 04:33:13,10.9 
2021-07-13 04:33:20,10.9 
2021-07-13 04:33:27,11 
2021-07-13 04:33:34,11 
2021-07-13 04:33:41,11 
2021-07-13 04:33:47,10.9 
2021-07-13 04:34:01,10.9 
2021-07-13 04:34:08,11 
2021-07-13 04:34:15,10.9 
2021-07-13 04:34:36,11 
2021-07-13 04:34:43,11 
2021-07-13 04:34:49,11 
2021-07-13 04:34:56,11 
2021-07-13 04:35:03,11 
2021-07-13 04:35:10,11 
2021-07-13 04:35:17,11 
2021-07-13 04:35:24,11 
2021-07-13 04:35:31,10.9 
2021-07-13 04:35:38,11 
