"Time","H248"
2021-07-19 15:53:50,9.10
2021-07-19 15:54:00,9.20
2021-07-19 15:54:10,9.10
2021-07-19 15:54:20,9.20
2021-07-19 15:54:30,9.15
2021-07-19 15:54:40,9.15
2021-07-19 15:54:50,9.20
2021-07-19 15:55:00,9.25
2021-07-19 15:55:10,9.15
2021-07-19 15:55:20,9.20
2021-07-19 15:55:30,9.20
2021-07-19 15:55:40,9.20
2021-07-19 15:55:50,9.20
2021-07-19 15:56:00,9.20
2021-07-19 15:56:10,9.15
2021-07-19 15:56:20,9.25
2021-07-19 15:56:30,9.20
2021-07-19 15:56:40,9.20
2021-07-19 15:56:50,9.20
2021-07-19 15:57:00,9.25
2021-07-19 15:57:10,
2021-07-19 15:57:20,9.30
2021-07-19 15:57:30,
2021-07-19 15:57:40,
2021-07-19 15:57:50,
2021-07-19 15:58:00,
2021-07-19 15:58:10,
2021-07-19 15:58:20,
2021-07-19 15:58:30,
2021-07-19 15:58:40,
2021-07-19 15:58:50,
2021-07-19 15:59:00,
2021-07-19 15:59:10,
2021-07-19 15:59:20,
2021-07-19 15:59:30,9.60
2021-07-19 15:59:40,9.60
2021-07-19 15:59:50,9.60
2021-07-19 16:00:00,9.60
2021-07-19 16:00:10,9.60
2021-07-19 16:00:20,9.60
2021-07-19 16:00:30,9.60
2021-07-19 16:00:40,9.57
2021-07-19 16:00:50,9.60
2021-07-19 16:01:00,9.60
2021-07-19 16:01:10,9.60
2021-07-19 16:01:20,9.60
2021-07-19 16:01:30,9.60
2021-07-19 16:01:40,9.60
2021-07-19 16:01:50,9.50
2021-07-19 16:02:00,9.60
2021-07-19 16:02:10,9.60
2021-07-19 16:02:20,9.60
2021-07-19 16:02:30,
2021-07-19 16:02:40,9.60
2021-07-19 16:02:50,9.55
2021-07-19 16:03:00,9.60
2021-07-19 16:03:10,9.60
2021-07-19 16:03:20,9.60
2021-07-19 16:03:30,9.60
2021-07-19 16:03:40,9.60
2021-07-19 16:03:50,
2021-07-19 16:04:00,9.60
2021-07-19 16:04:10,9.60
2021-07-19 16:04:20,9.60
2021-07-19 16:04:30,9.60
2021-07-19 16:04:40,9.60
2021-07-19 16:04:50,9.70
2021-07-19 16:05:00,9.70
2021-07-19 16:05:10,9.60
2021-07-19 16:05:20,9.70
2021-07-19 16:05:30,9.70
2021-07-19 16:05:40,9.70
2021-07-19 16:05:50,9.70
2021-07-19 16:06:00,9.75
2021-07-19 16:06:10,9.80
2021-07-19 16:06:20,9.80
2021-07-19 16:06:30,9.75
2021-07-19 16:06:40,9.80
2021-07-19 16:06:50,
2021-07-19 16:07:00,9.80
2021-07-19 16:07:10,9.80
2021-07-19 16:07:20,9.80
2021-07-19 16:07:30,9.90
2021-07-19 16:07:40,
2021-07-19 16:07:50,9.90
2021-07-19 16:08:00,9.90
2021-07-19 16:08:10,9.90
2021-07-19 16:08:20,9.90
2021-07-19 16:08:30,9.95
2021-07-19 16:08:40,10
2021-07-19 16:08:50,10
2021-07-19 16:09:00,10
2021-07-19 16:09:10,10
2021-07-19 16:09:20,10
2021-07-19 16:09:30,10.1
2021-07-19 16:09:40,10.1
2021-07-19 16:09:50,10.1
2021-07-19 16:10:00,10.1
2021-07-19 16:10:10,10.2
2021-07-19 16:10:20,10.2
2021-07-19 16:10:30,10.3
2021-07-19 16:10:40,10.2
