"Time","H241"
2021-08-03 14:05:26,10.5
2021-08-03 14:08:27,10.6
2021-08-03 14:08:33,10.6
2021-08-03 14:08:39,10.5
2021-08-03 14:08:46,10.5
2021-08-03 14:08:52,10.5
2021-08-03 14:08:59,10.5
2021-08-03 14:09:05,10.6
2021-08-03 14:09:11,10.6
2021-08-03 14:09:28,10.6
2021-08-03 14:09:34,10.5
2021-08-03 14:09:40,10.6
2021-08-03 14:09:46,10.5
2021-08-03 14:09:51,10.5
2021-08-03 14:09:58,10.6
2021-08-03 14:10:03,10.5
2021-08-03 14:10:15,10.6
2021-08-03 14:10:21,10.5
2021-08-03 14:10:32,10.6
2021-08-03 14:10:38,10.5
2021-08-03 14:10:44,10.5
2021-08-03 14:10:49,10.6
2021-08-03 14:10:55,10.5
2021-08-03 14:11:08,10.6
2021-08-03 14:11:13,10.6
2021-08-03 14:11:19,10.6
2021-08-03 14:11:25,10.5
2021-08-03 14:11:30,10.3
2021-08-03 14:11:36,10.5
2021-08-03 14:11:43,10.5
2021-08-03 14:11:49,10.7
2021-08-03 14:11:55,10.5
2021-08-03 14:12:01,10.6
2021-08-03 14:12:06,10.6
2021-08-03 14:12:12,10.5
2021-08-03 14:12:19,10.5
2021-08-03 14:12:24,10.6
2021-08-03 14:12:36,10.5
2021-08-03 14:12:42,10.5
2021-08-03 14:12:47,10.6
2021-08-03 14:13:00,10.5
2021-08-03 14:13:06,10.5
2021-08-03 14:13:12,10.6
2021-08-03 14:13:19,10.5
2021-08-03 14:13:24,10.6
2021-08-03 14:13:30,10.5
2021-08-03 14:13:36,10.5
2021-08-03 14:13:42,10.5
2021-08-03 14:13:48,10.5
2021-08-03 14:13:54,10.5
2021-08-03 14:14:00,10.5
2021-08-03 14:14:07,10.5
2021-08-03 14:14:13,10.5
2021-08-03 14:14:25,10.6
2021-08-03 14:14:31,10.6
2021-08-03 14:14:37,10.6
2021-08-03 14:14:44,10.5
2021-08-03 14:14:49,10.5
2021-08-03 14:14:55,10.6
2021-08-03 14:15:02,10.5
2021-08-03 14:15:10,10.6
2021-08-03 14:15:16,10.6
2021-08-03 14:15:22,10.6
2021-08-03 14:15:31,10.6
2021-08-03 14:15:49,10.5
2021-08-03 14:16:03,10.6
2021-08-03 14:16:09,10.6
2021-08-03 14:16:30,10.5
2021-08-03 14:16:36,10.5
2021-08-03 14:16:43,10.5
2021-08-03 14:16:48,10.6
2021-08-03 14:16:56,10.5
2021-08-03 14:17:08,10.5
2021-08-03 14:17:21,10.6
2021-08-03 14:17:30,10.5
2021-08-03 14:17:36,10.5
2021-08-03 14:17:45,10.6
2021-08-03 14:18:00,10.5
2021-08-03 14:18:06,10.6
2021-08-03 14:18:12,10.5
2021-08-03 14:18:17,10.5
2021-08-03 14:18:32,10.5
2021-08-03 14:18:41,10.6
2021-08-03 14:18:47,10.5
2021-08-03 14:18:53,10.5
2021-08-03 14:19:01,10.5
2021-08-03 14:19:08,10.6
2021-08-03 14:19:14,10.5
2021-08-03 14:19:21,10.6
2021-08-03 14:19:29,10.5
2021-08-03 14:19:35,10.6
2021-08-03 14:19:43,10.5
2021-08-03 14:19:49,10.6
2021-08-03 14:19:55,10.5
2021-08-03 14:20:02,10.4
2021-08-03 14:20:15,10.5
2021-08-03 14:20:33,10.6
2021-08-03 14:20:40,10.5
2021-08-03 14:20:47,10.5
2021-08-03 14:20:53,10.5
2021-08-03 14:21:06,10.5
2021-08-03 14:21:15,10.7
2021-08-03 14:21:22,10.6
2021-08-03 14:21:29,10.5
2021-08-03 14:21:35,10.5
2021-08-03 14:21:42,10.5
2021-08-03 14:21:50,10.5
2021-08-03 14:21:56,10.6
2021-08-03 14:22:08,10.6
2021-08-03 14:22:20,10.8
2021-08-03 14:22:39,10.6
2021-08-03 14:22:45,10.5
2021-08-03 14:22:51,10.9
2021-08-03 14:23:00,10.5
2021-08-03 14:23:06,10.5
2021-08-03 14:23:13,10.5
2021-08-03 14:23:19,10.5
2021-08-03 14:23:26,10.5
2021-08-03 14:23:33,10.6
2021-08-03 14:23:39,10.5
2021-08-03 14:23:46,10.3
2021-08-03 14:23:52,10.5
2021-08-03 14:24:02,10.6
2021-08-03 14:24:10,10.5
2021-08-03 14:24:17,10.4
