"datetime","BAT"
2021-07-28 09:32:13,9.90
2021-07-28 09:32:18,9.80
2021-07-28 09:32:35,9.90
2021-07-28 09:32:40,9.90
2021-07-28 09:33:28,9.90
2021-07-28 09:33:32,9.80
2021-07-28 09:34:01,9.90
2021-07-28 09:34:06,9.90
2021-07-28 09:34:10,9.80
2021-07-28 09:34:15,9.90
2021-07-28 09:34:24,9.90
2021-07-28 09:34:29,9.90
2021-07-28 09:34:47,9.90
2021-07-28 09:34:52,9.90
2021-07-28 09:35:02,9.80
2021-07-28 09:35:16,9.90
2021-07-28 09:35:20,9.90
2021-07-28 09:35:30,9.90
2021-07-28 09:35:44,9.90
2021-07-28 09:35:53,9.90
2021-07-28 09:36:02,9.90
2021-07-28 09:36:07,9.80
2021-07-28 09:36:12,9.90
2021-07-28 09:36:16,9.90
2021-07-28 09:36:21,9.90
2021-07-28 09:36:35,9.90
2021-07-28 09:36:40,9.90
2021-07-28 09:36:45,9.90
2021-07-28 09:36:50,9.90
2021-07-28 09:37:04,9.90
2021-07-28 09:37:13,9.90
2021-07-28 09:37:22,9.90
2021-07-28 09:37:26,9.90
2021-07-28 09:37:36,9.90
2021-07-28 09:37:50,9.90
2021-07-28 09:37:55,9.90
2021-07-28 09:38:04,9.90
2021-07-28 09:38:09,9.90
2021-07-28 09:38:18,9.90
2021-07-28 09:38:23,9.90
2021-07-28 09:38:54,9.90
2021-07-28 09:38:57,9.90
2021-07-28 09:39:00,9.90
2021-07-28 09:39:11,9.90
2021-07-28 09:39:14,10
2021-07-28 09:39:16,10
2021-07-28 09:39:20,9.90
2021-07-28 09:39:22,9.90
2021-07-28 09:39:25,9.90
2021-07-28 09:39:28,10
2021-07-28 09:39:31,10
2021-07-28 09:39:44,9.90
2021-07-28 09:39:47,10
2021-07-28 09:39:50,10
2021-07-28 09:39:52,10
2021-07-28 09:39:55,10
2021-07-28 09:39:57,10
2021-07-28 09:40:00,10
2021-07-28 09:40:11,9.90
2021-07-28 09:40:14,10
2021-07-28 09:40:16,9.90
2021-07-28 09:40:19,10
2021-07-28 09:40:22,10
2021-07-28 09:40:24,9.90
2021-07-28 09:40:38,10
2021-07-28 09:40:41,10
2021-07-28 09:40:44,10
2021-07-28 09:40:47,10
2021-07-28 09:40:49,10
2021-07-28 09:40:52,10
2021-07-28 09:40:57,9.90
2021-07-28 09:40:59,10
2021-07-28 09:41:05,9.90
2021-07-28 09:41:08,9.90
2021-07-28 09:41:11,10
2021-07-28 09:41:13,9.90
2021-07-28 09:41:30,10
2021-07-28 09:41:35,10
2021-07-28 09:41:46,10
2021-07-28 09:41:49,10
2021-07-28 09:41:52,10
2021-07-28 09:41:54,10
2021-07-28 09:41:57,10
2021-07-28 09:42:00,9.90
2021-07-28 09:42:02,9.90
2021-07-28 09:42:05,10
2021-07-28 09:42:07,10
2021-07-28 09:42:10,10
2021-07-28 09:42:34,10
2021-07-28 09:42:37,10
2021-07-28 09:42:40,10
2021-07-28 09:42:42,10
2021-07-28 09:42:45,10
2021-07-28 09:42:47,9.90
2021-07-28 09:42:50,9.90
2021-07-28 09:42:52,9.90
2021-07-28 09:42:55,10
2021-07-28 09:43:04,10
2021-07-28 09:43:06,10
2021-07-28 09:43:09,9.90
2021-07-28 09:43:12,9.90
2021-07-28 09:43:14,10
2021-07-28 09:43:17,10
2021-07-28 09:43:19,10
2021-07-28 09:43:22,10
2021-07-28 09:43:31,10
2021-07-28 09:43:34,10
2021-07-28 09:43:36,10
2021-07-28 09:43:39,10
2021-07-28 09:43:47,10
2021-07-28 09:43:50,10
2021-07-28 09:43:53,10
2021-07-28 09:43:58,10
2021-07-28 09:44:07,10
2021-07-28 09:44:09,10
2021-07-28 09:44:26,9.90
2021-07-28 09:44:28,9.90
2021-07-28 09:44:34,10
2021-07-28 09:44:36,10
2021-07-28 09:44:39,9.90
2021-07-28 09:44:42,10
2021-07-28 09:44:44,9.90
2021-07-28 09:44:47,10
2021-07-28 09:45:06,10
2021-07-28 09:45:09,10
2021-07-28 09:45:11,10
2021-07-28 09:45:14,10
2021-07-28 09:45:22,10
2021-07-28 09:45:25,10
2021-07-28 09:45:28,9.90
2021-07-28 09:45:31,10
2021-07-28 09:45:33,9.90
2021-07-28 09:45:45,10
2021-07-28 09:45:47,10
2021-07-28 09:45:50,9.90
2021-07-28 09:45:55,9.90
2021-07-28 09:45:58,10.1
2021-07-28 09:46:00,10
2021-07-28 09:46:03,10
2021-07-28 09:46:06,10
2021-07-28 09:46:08,9.90
2021-07-28 09:46:19,9.90
2021-07-28 09:46:22,10
2021-07-28 09:46:24,10
2021-07-28 09:46:27,10
2021-07-28 09:46:30,9.90
2021-07-28 09:46:32,10
2021-07-28 09:46:35,10
2021-07-28 09:46:40,10
2021-07-28 09:46:52,10
2021-07-28 09:46:54,10
2021-07-28 09:46:57,10
2021-07-28 09:47:00,10
2021-07-28 09:47:05,10
2021-07-28 09:47:08,10
2021-07-28 09:47:11,10
2021-07-28 09:47:14,10
2021-07-28 09:47:25,9.90
2021-07-28 09:47:27,10
2021-07-28 09:47:30,10
2021-07-28 09:47:33,9.90
2021-07-28 09:47:44,10
2021-07-28 09:47:47,10
2021-07-28 09:47:50,10
2021-07-28 09:47:52,9.90
2021-07-28 09:47:55,10
2021-07-28 09:47:58,10
2021-07-28 09:48:03,10
2021-07-28 09:48:05,10
2021-07-28 09:48:16,10
2021-07-28 09:48:19,10
2021-07-28 09:48:22,10
2021-07-28 09:48:24,10
2021-07-28 09:48:27,10
2021-07-28 09:48:30,10
2021-07-28 09:48:32,9.90
2021-07-28 09:48:46,10
2021-07-28 09:48:49,10
2021-07-28 09:48:51,10
2021-07-28 09:48:54,10
2021-07-28 09:49:10,10
2021-07-28 09:49:16,10
2021-07-28 09:49:18,10
2021-07-28 09:49:21,10
2021-07-28 09:49:29,10
2021-07-28 09:49:32,10
2021-07-28 09:49:35,10
2021-07-28 09:49:37,9.90
2021-07-28 09:49:40,10
2021-07-28 09:49:43,10
2021-07-28 09:50:04,10
2021-07-28 09:50:07,10
2021-07-28 09:50:10,10
2021-07-28 09:50:20,10
2021-07-28 09:50:29,10
2021-07-28 09:50:32,10
2021-07-28 09:50:34,10
2021-07-28 09:51:01,10
2021-07-28 09:51:04,10
2021-07-28 09:51:07,10.1
2021-07-28 09:51:09,10
2021-07-28 09:51:12,10
2021-07-28 09:51:17,10
2021-07-28 09:51:20,10.1
2021-07-28 09:51:23,10
2021-07-28 09:51:25,10.1
2021-07-28 09:51:28,10.1
2021-07-28 09:51:31,10
2021-07-28 09:51:34,10
2021-07-28 09:51:45,10
2021-07-28 09:51:48,10
2021-07-28 09:51:50,10
2021-07-28 09:51:53,10.1
2021-07-28 09:51:56,10.1
2021-07-28 09:52:06,10
2021-07-28 09:52:09,10
2021-07-28 09:52:14,10.1
2021-07-28 09:52:17,10.1
2021-07-28 09:52:20,10
2021-07-28 09:52:22,10
2021-07-28 09:52:25,10
2021-07-28 09:52:28,10
2021-07-28 09:52:35,10
2021-07-28 09:52:38,10.1
2021-07-28 09:53:05,10
2021-07-28 09:53:08,10
2021-07-28 09:53:10,10.1
2021-07-28 09:53:13,10
2021-07-28 09:53:18,10
2021-07-28 09:53:21,10.1
2021-07-28 09:53:24,10.1
2021-07-28 09:53:27,10
2021-07-28 09:53:29,10
2021-07-28 09:53:32,10
2021-07-28 09:53:35,10
2021-07-28 09:53:46,10.1
2021-07-28 09:53:49,10
2021-07-28 09:53:51,10.1
2021-07-28 09:53:54,10
2021-07-28 09:54:00,10.1
2021-07-28 09:54:02,10
2021-07-28 09:54:05,10
2021-07-28 09:54:08,10.1
2021-07-28 09:54:11,10
2021-07-28 09:54:22,10
2021-07-28 09:54:25,10.1
2021-07-28 09:54:27,10.1
2021-07-28 09:54:30,10.1
2021-07-28 09:54:32,10
2021-07-28 09:54:41,10.1
2021-07-28 09:54:44,10.1
2021-07-28 09:54:46,10
2021-07-28 09:54:49,10.1
2021-07-28 09:54:51,10.1
2021-07-28 09:54:54,10
2021-07-28 09:55:05,10.1
2021-07-28 09:55:08,10.1
2021-07-28 09:55:11,10
2021-07-28 09:55:14,10.1
2021-07-28 09:55:19,10.1
2021-07-28 09:55:24,10
2021-07-28 09:55:27,10
2021-07-28 09:55:30,10.1
2021-07-28 09:55:33,10.1
2021-07-28 09:55:36,10.1
2021-07-28 09:55:57,10.1
2021-07-28 09:56:00,10
2021-07-28 09:56:02,10
2021-07-28 09:56:05,10
2021-07-28 09:56:08,10
2021-07-28 09:56:10,10
2021-07-28 09:56:13,10.1
2021-07-28 09:56:19,10.1
2021-07-28 09:56:26,10.1
2021-07-28 09:56:29,10.1
2021-07-28 09:56:32,10
2021-07-28 09:56:34,10
2021-07-28 09:56:37,10.1
2021-07-28 09:56:39,10.1
2021-07-28 09:56:42,10.1
2021-07-28 09:56:45,10
2021-07-28 09:56:47,10.1
2021-07-28 09:56:50,10.1
2021-07-28 09:56:52,10.1
2021-07-28 09:56:55,10.1
2021-07-28 09:56:58,10.1
2021-07-28 09:57:06,10
2021-07-28 09:57:09,10.1
2021-07-28 09:57:12,10.1
2021-07-28 09:57:14,10.1
2021-07-28 09:57:17,10.1
2021-07-28 09:57:20,10.1
2021-07-28 09:57:25,10
2021-07-28 09:57:28,10.1
2021-07-28 09:57:31,10.1
2021-07-28 09:57:34,10.1
2021-07-28 09:57:50,10.1
2021-07-28 09:57:53,10.1
2021-07-28 09:57:56,10.1
2021-07-28 09:57:58,10
2021-07-28 09:58:07,10.1
2021-07-28 09:58:09,10.1
2021-07-28 09:58:12,10.1
2021-07-28 09:58:14,10.1
2021-07-28 09:58:17,10.1
2021-07-28 09:58:20,10
2021-07-28 09:58:22,10.1
2021-07-28 09:58:28,10.1
2021-07-28 09:58:30,10.1
2021-07-28 09:58:33,10
2021-07-28 09:58:35,10.1
2021-07-28 09:58:57,10.1
2021-07-28 09:59:00,10.1
2021-07-28 09:59:03,10
2021-07-28 09:59:05,10.1
2021-07-28 09:59:11,10.1
2021-07-28 09:59:16,10.1
2021-07-28 09:59:22,10.1
2021-07-28 09:59:24,10.1
2021-07-28 09:59:27,10.1
2021-07-28 09:59:46,10.1
2021-07-28 09:59:49,10
2021-07-28 09:59:51,10.1
2021-07-28 09:59:54,10
2021-07-28 09:59:56,10.1
2021-07-28 09:59:59,10.1
2021-07-28 10:00:02,10.1
2021-07-28 10:00:04,10.1
2021-07-28 10:00:07,10.1
2021-07-28 10:00:09,10.1
2021-07-28 10:00:12,101
2021-07-28 10:00:15,10.1
2021-07-28 10:00:23,10.1
