Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num Negative,Positive %,Area µm^2,Perimeter µm,Num 1+,H-score,Allred proportion,Allred intensity,Allred score,Num 2+,Num 3+
Image_05.vsi - 40x_05 #9,e3f485e4-f24f-40e8-ae2e-f9f7d83728a8,PathAnnotationObject,,Image,Polygon,393.16,426.87,312,312,0,61526.8,1700.7,,,,,,,
Image_09.vsi - 40x_04 #7,c09ced8f-331c-47b8-9b67-d838bc9fa402,PathAnnotationObject,,Image,Polygon,589.9,442.69,805,803,0.2484,370024,2704.4,2,0.2484,1,1,2,,
Image_09.vsi - 40x_05 #9,a0c93056-b7ee-4d6a-8be0-266ea800fbe6,PathAnnotationObject,,Image,Polygon,872.96,461.09,755,754,0.1325,253860.3,2089.8,1,0.1325,1,1,2,,
Image_11.vsi - 40x_08 #15,5d9adf48-2c34-44a8-926e-b1527d8b2ec4,PathAnnotationObject,,Image,Polygon,496.38,321.4,549,184,66.48,90183.2,2045.5,352,68.85,4,1,5,13,
Image_11.vsi - 40x_10 #19,a4b6dea2-b392-4757-ae46-0eccc8e09dd6,PathAnnotationObject,,Image,Polygon,289.29,265.25,379,379,0,95145.5,1807.6,,,,,,,
Image_12.vsi - 40x_08 #15,1f14d5a4-bb47-4309-9d2a-fd1922bd2ba8,PathAnnotationObject,,Image,Polygon,374.31,346.94,257,257,0,93380,1346.1,,,,,,,
Image_12.vsi - 40x_09 #17,e6642f43-6c9f-4a03-a818-269057db2bc8,PathAnnotationObject,,Image,Polygon,331.73,528.79,747,747,0,145763.9,2138.4,,,,,,,
Image_12.vsi - 40x_10 #19,ec55be55-4708-4ff5-b167-1f07ebbd9f8c,PathAnnotationObject,,Image,Polygon,441.95,584.09,1114,1030,7.54,223698.6,2627.7,84,7.54,2,1,3,,
Image_13.vsi - 40x_05 #9,84ec2254-a81a-4820-a210-c3a33c45aa1b,PathAnnotationObject,,Image,Polygon,515.7,172.71,896,469,47.66,203627.2,2716.8,388,52.01,4,1,5,39,
Image_13.vsi - 40x_06 #11,321a6ee3-352e-4a75-b1b9-a512074a46a8,PathAnnotationObject,,Image,Polygon,387.63,715.5,1497,1172,21.71,352181,2426.5,324,21.78,3,1,4,1,
Image_13.vsi - 40x_07 #13,290b082d-113c-439e-850e-a7f80a523bb4,PathAnnotationObject,,Image,Polygon,781.02,275.77,1597,302,81.09,325914.9,3928.7,788,112.84,5,1,6,507,
Image_13.vsi - 40x_08 #15,d5d7bca5-f4a8-4be8-8c59-6552ac3fd4d9,PathAnnotationObject,,Image,Polygon,705,294.03,924,343,62.88,208564.3,2570.2,556,65.58,4,1,5,25,
Image_13.vsi - 40x_09 #17,0153d4e1-668f-4b91-a6e1-8f32e4a701b7,PathAnnotationObject,,Image,Polygon,786.36,347.3,1174,1092,6.985,260802.6,3143.7,82,6.985,2,1,3,,
Image_05.vsi - 40x_04 #7,ce71d4fd-c409-45a6-bd3b-5dea616be9f0,PathAnnotationObject,,Image,Polygon,387.77,464.66,712,685,3.792,146231.4,2184.3,27,3.792,2,1,3,,
Image_05.vsi - 40x_05 #9,6990f2a3-47d0-4dc8-9736-ee7267020f94,PathAnnotationObject,,Image,Polygon,381.06,392.96,479,477,0.4175,114240.3,1847.4,2,0.4175,1,1,2,,
Image_09.vsi - 40x_04 #7,96eaf240-9a18-4428-ba81-94ab302ecff6,PathAnnotationObject,,Image,Polygon,575.22,424.83,844,839,0.5924,415938.6,2939.1,5,0.5924,1,1,2,,
Image_09.vsi - 40x_05 #9,a67d9287-e468-4a28-a6a9-7105ad12531e,PathAnnotationObject,,Image,Polygon,808.15,462.3,918,916,0.2179,336903.6,2455.6,2,0.2179,1,1,2,,
Image_09.vsi - 40x_06 #11,74d001b8-a1fa-42a1-ae63-5edbc02992a4,PathAnnotationObject,,Image,Rectangle,715.74,299.65,295,293,0.678,96956.3,1366.4,2,0.678,1,1,2,,
Image_09_01.vsi - 40x_04 #7,ca453ad8-1808-4a74-8e40-bec698ed9d5e,PathAnnotationObject,,Image,Polygon,570.48,442.48,776,774,0.2577,383004.3,2593.4,2,0.2577,1,1,2,,
Image_09_01.vsi - 40x_05 #9,d3f575c4-511b-4aee-9bfe-977f910dc163,PathAnnotationObject,,Image,Polygon,840.49,463.15,888,886,0.2252,322162.3,2252.5,2,0.2252,1,1,2,,
Image_09_02.vsi - 40x_04 #7,8c1d40ab-2110-4610-9627-edf9966cd5a6,PathAnnotationObject,,Image,Polygon,564.46,471.85,1013,1011,0.1974,522626,2933.1,2,0.1974,1,1,2,,
