Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,FOS-Thresh-1: Positive %,FOS-Thresh-1: Positive area µm^2,FOS-Thresh-1: Negative %,FOS-Thresh-1: Negative area µm^2,Num Detections,Num Negative,Num Positive,Positive %,Num Positive per mm^2,Area µm^2,Perimeter µm,Classifier: Positive %,Classifier: Positive area µm^2,Classifier: Negative %,Classifier: Negative area µm^2,Fos-Thresh-1: Positive %,Fos-Thresh-1: Positive area µm^2,Fos-Thresh-1: Negative %,Fos-Thresh-1: Negative area µm^2
Slide 68_Image01.vsi - EFI 40x_05 #10 COMBINED,0855fd90-89c5-4504-b23c-626548387656,OVLT,,Image,Geometry,1157.8,803.32,0.781,635.1742,99.219,80688.4453,532,529,3,0.5639,36.89,81328.5,3889.7,,,,,,,,
Slide 68_Image01.vsi - EFI 40x_05 #10 COMBINED,e6903358-a972-4b01-978a-e6c8d9b4990c,AVPE,,Image,Polygon,1176.1,1062.9,0.2669,1903.599,99.7331,711227.125,2733,2731,2,0.0732,2.805,713133.9,4704.4,,,,,,,,
Slide 68_Image01.vsi - EFI 40x_05 #10 COMBINED,3ae793fb-e967-4a12-bb0a-225404241278,MnPO,,Image,Polygon,1114.5,2033,0.0512,148.4667,99.9488,289637.2812,1133,1131,2,0.1765,6.901,289801.7,2583.1,,,,,,,,
Slide 68_Image01.vsi - EFI 40x_05 #10 COMBINED,0d3669b9-fd6a-4987-932c-e9cae44cca63,LPO,,Image,Rectangle,2040.5,1995.3,0.0452,270.5025,99.9548,598589.5625,1586,1581,5,0.3153,8.349,598840.5,3096.9,,,,,,,,
Slide 68_Image01.vsi - EFI 40x_04 #8 COMBINED,d5e02f43-71fd-4b8c-88fd-ba978aa6ac6f,OVLT,,Image,Geometry,1024.7,845.84,0.6313,548.3463,99.3688,86318.2656,432,431,1,0.2315,11.51,86863.7,3253.1,,,,,,,,
Slide 68_Image01.vsi - EFI 40x_04 #8 COMBINED,18983131-1256-4937-93d3-27f9ea647f30,AVPE,,Image,Polygon,1058.8,1053.3,0.3245,2290.5166,99.6755,703672.5,1693,1693,0,0,0,705951.3,4810,,,,,,,,
Slide 68_Image01.vsi - EFI 40x_04 #8 COMBINED,014ff35b-fe2a-4e2d-9fc4-62394ba99c89,MnPO,,Image,Polygon,976.44,1924.6,0.1347,415.0691,99.8653,307707.75,706,706,0,0,0,308118.8,2341.8,,,,,,,,
Slide 68_Image01.vsi - EFI 40x_04 #8 COMBINED,4f5e6d10-e344-491b-b240-69a5cd033a47,LPO,,Image,Rectangle,1627.3,2141.4,0.1382,426.5586,99.8618,308150.4062,532,532,0,0,0,308566.6,2222.9,,,,,,,,
Slide 68_Image01.vsi - EFI 40x_04 #8 COMBINED,ecea3c4e-2ca4-415e-89c9-1dd92ed75e33,PathAnnotationObject,,Image,Rectangle,1021.2,1272.4,,,,,3361,3360,1,0.0298,0.2182,4583854.3,8598.3,,,,,,,,
Slide 68_Image01.vsi - EFI 40x_03 #6 COMBINED,2a4abe7f-55bb-485a-9bec-40c767379cac,OVLT,,Image,Geometry,1369.1,645.44,0.8936,399.54,99.1064,44310.6992,241,241,0,0,0,44709.1,1761,,,,,,,,
