Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_13.vsi - 40x_02 #3,9c4a46da-30c4-4a48-a6c1-080e49f0f993,VMH,,Image,Polygon,1933.9,1772.6,497,1,1,1,494,0.6036,1.207,1,2,3,301423.2,2074.3
Image_13.vsi - 40x_02 #3,6a0ffe5e-2585-4694-ae6b-fd0b592a8f9b,ARC,,Image,Polygon,1727.5,2109.3,290,3,6,0,281,3.103,5.172,2,1,3,104869,1404
Image_13.vsi - 40x_02 #3,7f637eb0-6712-46b1-ae57-0c27b884b6cc,ATAN,,Image,Polygon,1332.9,1608.3,175,0,0,0,175,0,0,0,0,0,24412.7,1386.7
Image_13.vsi - 40x_02 #3,124b01c4-2774-47db-aaaf-86ebeb49e2cc,PT,,Image,Polygon,1290.9,2499.1,263,0,0,0,263,0,0,0,0,0,42774.4,2093.4
Image_13.vsi - 40x_02 #3,88805b00-85e9-4554-8ee9-dd5532de85bc,DMH,,Image,Polygon,1531.9,1472,502,5,6,2,489,2.59,4.582,2,2,4,209806.1,2021.1
Image_13.vsi - 40x_03 #5,e5e2c906-afb1-4567-ace2-82f70dffd2d1,DMH,,Image,Polygon,1549.6,1452.7,552,5,11,2,534,3.261,5.978,2,2,4,206403.7,1947.3
Image_13.vsi - 40x_03 #5,b5c1aee4-3fa6-40d1-89ec-7af20e4e7081,VMH,,Image,Polygon,1926.1,1766.7,549,2,2,1,544,0.9107,1.639,1,2,3,302916.8,2029.2
Image_13.vsi - 40x_03 #5,5ebf39ea-2331-413e-aa7c-1f63660a7574,ARC,,Image,Polygon,1746.3,2085.9,356,4,7,1,344,3.371,5.899,2,2,4,103829.1,1386.4
Image_13.vsi - 40x_03 #5,a5d1c46d-e5b8-4ab0-8405-7887d4cdaead,ATAN,,Image,Polygon,1328.2,1523.2,191,0,0,0,191,0,0,0,0,0,28011.5,1523.6
Image_13.vsi - 40x_03 #5,e8f606bd-3ff1-4e2d-bae8-a6937cbd2ca2,PT,,Image,Polygon,1439.3,2390.4,204,73,1,0,130,36.27,36.76,4,1,5,31497.9,2519.9
Image_13.vsi - 40x_04 #7,30cd3ae6-b5da-409a-8cd1-a3f895d88e03,DMH,,Image,Polygon,1357.4,1352.7,570,6,8,3,553,2.982,5.439,2,2,4,206665.9,1926.8
Image_13.vsi - 40x_04 #7,21e33bde-d9bc-4c83-aa01-7caba048c21f,VMH,,Image,Polygon,1733.7,1663.4,564,1,3,0,560,0.7092,1.241,1,2,3,302818.9,2090.4
Image_13.vsi - 40x_04 #7,43a8b06b-3623-4a21-a2a0-9cea7b0c60b0,ARC,,Image,Polygon,1509.9,1996.5,359,8,2,1,348,3.064,4.178,2,1,3,104654.6,1361
Image_13.vsi - 40x_04 #7,db127161-d68b-44ca-ab00-ddaf80a43b69,ATAN,,Image,Geometry,1127.7,1422.1,145,0,0,0,145,0,0,0,0,0,21595.8,1383
Image_13.vsi - 40x_04 #7,34b1e49f-7e6d-4aa4-bfb1-bbff1ee69238,PT,,Image,Geometry,1394.8,2317.1,146,3,0,0,143,2.055,2.055,2,1,3,22104.7,2048.6
Image_14.vsi - 40x_01 #1,7314697a-e747-4a4c-8db0-f7843d2a7e52,DMH,,Image,Polygon,1141.3,1107.9,543,3,0,,540,0.5525,0.5525,1,1,2,207250.3,2081.5
Image_14.vsi - 40x_01 #1,7965eaf4-1e5c-4cd1-88e3-52538ebeabfc,VMH,,Image,Polygon,1503,1427.5,473,0,0,,473,0,0,0,0,0,304939.5,2097.4
Image_14.vsi - 40x_01 #1,3564406f-75ab-44e1-bf1a-362849ad706c,ARC,,Image,Polygon,1207.8,1766.1,246,0,1,,245,0.4065,0.813,1,2,3,104553.5,1324
Image_14.vsi - 40x_01 #1,90a2742e-ca65-4a4b-a901-44b73747ea0e,PT,,Image,Geometry,1038.6,2115.8,159,0,0,,159,0,0,0,0,0,29427.1,1819.5
Image_14.vsi - 40x_01 #1,a326e972-d29b-476e-8e45-82a42731ed60,ATAN,,Image,Geometry,914.85,1176.2,153,0,0,,153,0,0,0,0,0,24058.2,1557
Image_15.vsi - 40x_01 #1,5a4397ec-172e-4b8a-b0bc-0cb5f96ec81e,DMH,,Image,Polygon,1562.9,1713,403,3,5,,395,1.985,3.226,2,1,3,209005.4,2018.8
Image_15.vsi - 40x_01 #1,91deaf1c-eccd-47b8-b4ba-aa5783b0f3a2,VMH,,Image,Polygon,1750.4,2152.8,642,4,4,,634,1.246,1.869,2,1,3,303175.3,1992.3
Image_15.vsi - 40x_01 #1,abe57c49-8b3b-48b1-821c-4346b4acfbab,ARC,,Image,Polygon,1637,2568.2,150,0,0,,150,0,0,0,0,0,101416,1330.9
Image_15.vsi - 40x_01 #1,9c52482b-6410-4a48-9d22-05ac34371726,ATAN,,Image,Geometry,1296.5,1806.1,206,0,0,,206,0,0,0,0,0,29464.5,1291.6
Image_15.vsi - 40x_01 #1,3c012618-bc11-46c4-a301-e9a0d79bd535,PT,,Image,Geometry,1264.8,2950.4,201,1,5,,195,2.985,5.473,2,2,4,33245.3,2372.5
Image_15.vsi - 40x_02 #3,0d7faaa3-d2ab-40e0-a5f8-e95344fbcfd3,VMH,,Image,Polygon,741.33,2244,532,0,2,,530,0.3759,0.7519,1,2,3,301179.5,2006.1
Image_15.vsi - 40x_02 #3,f996936c-580d-4247-8bb8-390125ed3288,ARC,,Image,Polygon,793.13,2678,169,0,0,,169,0,0,0,0,0,108652.9,1457.8
Image_15.vsi - 40x_02 #3,d52fd5ca-484e-4719-a738-537c3cc35a3a,DMH,,Image,Polygon,940.89,1863.6,545,5,6,,534,2.018,3.119,2,1,3,201218.8,2061.5
Image_15.vsi - 40x_02 #3,6b350c1e-30b9-4acd-ad64-d89299571088,ATAN,,Image,Geometry,1222.7,2012,151,14,1,,136,9.934,10.6,2,1,3,20916.8,1246.6
Image_15.vsi - 40x_02 #3,86d7978f-e586-45a1-992f-485c036fd890,PT,,Image,Geometry,1087.4,2952.7,246,0,0,,246,0,0,0,0,0,40960.4,2994.4
Image_15.vsi - 40x_04 #7,839a93c1-7cde-4327-8707-63b131a023ca,DMH,,Image,Polygon,878.32,2081.6,561,2,1,,558,0.5348,0.713,1,1,2,201963.6,1953.9
Image_15.vsi - 40x_04 #7,63ed6fde-1c69-4582-b9b7-3acafabcecc8,VMH,,Image,Polygon,517.89,2432.8,585,2,0,,583,0.3419,0.3419,1,1,2,314535,2097.5
Image_15.vsi - 40x_04 #7,ff9fe584-3734-483f-962f-9f25080ac7c8,ARC,,Image,Polygon,771.33,2757.5,249,1,0,,248,0.4016,0.4016,1,1,2,103893.9,1343.8
Image_15.vsi - 40x_04 #7,705d8187-ff70-4f68-a2fb-da78ad948a6c,ATAN,,Image,Geometry,1123.7,2198.3,167,0,0,,167,0,0,0,0,0,22146.9,1845
Image_15.vsi - 40x_04 #7,5c188a95-60ec-4a77-a942-d8cde8e58f2a,PT,,Image,Geometry,842.83,3131,268,0,0,,268,0,0,0,0,0,47610.2,3977.8
