Image,Name,DAB-Thesholder: FOS area µm^2,ROI: 1.00 µm per pixel: OD Sum: Mean,ROI: 1.00 µm per pixel: OD Sum: Std.dev.,ROI: 1.00 µm per pixel: OD Sum: Min,ROI: 1.00 µm per pixel: OD Sum: Max,MIDLOW-SENS-FOS-thersholder: FOS area µm^2,DAB_FOS_LOWSENS: FOS area µm^2,Num Detections,Num FOS,Area µm^2
H254-39.vsi - 20x,DMH,6265.3389,0.273,0.0155,0.2284,0.8551,4177.8745,2687.3972,94,94,400410.9
H254-39.vsi - 20x,ARC,332.9481,0.2692,0.0072,0.2345,0.4114,178.3912,73.2318,10,10,310554.3
H254-39.vsi - 20x,PH,3242.7524,0.2721,0.0105,0.2345,0.765,2170.2695,1514.3969,57,57,696015.4
H254-39.vsi - 20x,ATAN,508.6348,0.275,0.0171,0.2406,0.7021,334.6008,202.0917,5,5,25521.1
H254-39.vsi - 20x,BTAN,2.8166,0.2686,0.0082,0.2406,0.3451,0.9389,0,0,0,21084.4
H254-39.vsi - 20x,VMH,91.4228,0.2693,0.0063,0.2345,0.4612,44.7152,32.8604,3,3,596597.3
H254-39.vsi - 20x,ARC,176.1562,0.267,0.0074,0.2345,0.8522,84.5011,70.6499,7,7,285554.3
H254-39.vsi - 20x,VMH,119.237,0.2677,0.0066,0.2304,0.6741,69.596,66.1903,7,7,587692.9
H254-39.vsi - 20x,DMH,3096.6401,0.2701,0.0118,0.2264,1.4624,2062.2959,1284.3738,52,52,399285.1
H254-39.vsi - 20x,ATAN,0,0.27,0.0068,0.2468,0.31,0,0,0,0,24457.7
H254-39.vsi - 20x,BTAN,8.8019,0.265,0.0076,0.2365,0.363,1.4084,0,1,1,27549.5
H254-39.vsi - 20x,PH,2180.4167,0.2716,0.01,0.2345,0.6776,1458.7,1091.3186,43,43,615618.1
H254-39.vsi - 20x,ME,324.7329,0.27,0.011,0.2406,0.5624,231.3217,147.6373,4,4,51926.9
H254-39.vsi - 20x,PT,4.6944,0.2693,0.0068,0.2406,0.3563,2.1125,0,0,0,19831.5
H254-39.vsi - 20x,ME,63.1393,0.2692,0.008,0.2427,0.3835,25.9371,11.1491,3,3,43746.3
