Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,DAB-Thesholder: FOS area µm^2,ROI: 1.00 µm per pixel: OD Sum: Mean,ROI: 1.00 µm per pixel: OD Sum: Std.dev.,ROI: 1.00 µm per pixel: OD Sum: Min,ROI: 1.00 µm per pixel: OD Sum: Max,MIDLOW-SENS-FOS-thersholder: FOS area µm^2,DAB_FOS_LOWSENS: FOS area µm^2,DAB_Thresh_Very LOW SENS: FOS area µm^2,DAB-Thresholder_1: FOS area µm^2,Manual_DAB: FOS area µm^2,Num Detections,Num FOS,Area µm^2,Perimeter µm,Classifier: FOS area µm^2,PC_1: FOS area µm^2,ROI: 2.00 µm per pixel: OD Sum: Mean,ROI: 2.00 µm per pixel: OD Sum: Std.dev.,ROI: 2.00 µm per pixel: OD Sum: Min,ROI: 2.00 µm per pixel: OD Sum: Max
H254-39.vsi - 20x,33ce7ae2-6d3e-417a-a472-845ae9eb2aa4,DMH,,Image,Geometry,2620.4,8189.9,6265.3389,0.273,0.0155,0.2284,0.8551,4177.8745,2687.3972,185.426,1686.2032,17550.6914,88,88,400410.9,4297.5,,,,,,
H254-39.vsi - 20x,4772d3c2-9af0-44ed-b437-0c7bad4725fa,ARC,,Image,Geometry,2645.8,8988.2,332.9481,0.2692,0.0072,0.2345,0.4114,178.3912,73.2318,0,14.083,1390.4604,12,12,310554.3,3451.2,,,,,,
H254-39.vsi - 20x,4abf9e7d-ce37-432c-9e22-eedd8b6a0025,PH,,Image,Geometry,2501.5,7473.3,3242.7524,0.2721,0.0105,0.2345,0.765,2170.2695,1514.3969,86.3757,879.248,10967.832,64,64,696015.4,4603.2,,,,,,
H254-39.vsi - 20x,85c00763-bac2-4bdd-9687-b3ccace4054a,ATAN,,Image,Polygon,2652.3,8257.4,508.6348,0.275,0.0171,0.2406,0.7021,334.6008,202.0917,7.5109,123.4609,1163.2549,2,2,25521.1,1365.9,,,,,,
H254-39.vsi - 20x,f0450e4e-09e1-4cdf-937d-10f9498c8f04,BTAN,,Image,Polygon,2645.3,9032.1,2.8166,0.2686,0.0082,0.2406,0.3451,0.9389,0,0,0,146.9325,1,1,21084.4,1558.7,,,,,,
H254-39.vsi - 20x,56559325-d581-47ca-8bdb-62b18f5d18d3,VMH,,Image,Geometry,2708.3,8558.5,91.4228,0.2693,0.0063,0.2345,0.4612,44.7152,32.8604,0,2.8166,720.5797,3,3,596597.3,3969.6,,,,,,
H254-39.vsi - 20x,93485746-b600-459b-98f3-c00eb95e1dab,ARC,,Image,Geometry,9558.6,9178.6,176.1562,0.267,0.0074,0.2345,0.8522,84.5011,70.6499,12.2053,29.5743,684.4333,5,5,285554.3,3904.4,,,,,,
H254-39.vsi - 20x,b0167cc1-0290-4294-8a9f-44416c9c6514,VMH,,Image,Geometry,9432.9,8817.1,119.237,0.2677,0.0066,0.2304,0.6741,69.596,66.1903,0,22.0634,635.6122,5,5,587692.9,4024.8,,,,,,
H254-39.vsi - 20x,cdffe388-f9af-4ff3-86c5-c1dbebc568ad,DMH,,Image,Geometry,9366.5,8457.2,3096.6401,0.2701,0.0118,0.2264,1.4624,2062.2959,1284.3738,18.7773,672.228,8534.7607,55,55,399285.1,4147,,,,,,
H254-39.vsi - 20x,8e035e7c-4fa6-48ff-8db9-7677c66538b1,ATAN,,Image,Polygon,9431.9,8560.2,0,0.27,0.0068,0.2468,0.31,0,0,0,0,19.2468,0,0,24457.7,1241.6,,,,,,
