Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num FOS,Num Negative,Positive %,Area µm^2,Perimeter µm
Image_02.vsi - 20x_03,83043e0f-ff6c-4255-b019-2f2d5b4b591f,AVPV,,Image,Polygon,5244.6,6800.1,651,62,589,0,413581.9,3177.8
Image_02.vsi - 20x_03,f1e05055-7757-42cf-9587-3b909080e24e,MnPO,,Image,Geometry,4785.8,5907.7,412,20,392,0,287489.7,4174.8
Image_02.vsi - 20x_03,ffa305df-aa6f-42e1-ac80-9a4a3d79a53e,MPO,,Image,Geometry,4871.5,6204.1,2420,102,2318,0,2238627.7,9312.8
Image_02.vsi - 20x_03,b1597331-9c46-44df-bada-81e18226834f,LPO,,Image,Geometry,4855.1,6333.7,931,28,903,0,952288.2,7159.2
Image_02.vsi - 20x_03,d669ea2b-5301-43b8-b62a-ec09d13d4b0a,Cg,,Image,Polygon,3878.6,422.26,361,3,358,0,226618.1,1865.6
Image_02.vsi - 20x_04,7b17bc51-f630-4984-93bc-66912d9d0408,AVPE,,Image,Polygon,5396.4,6337.2,493,21,472,0,331106.9,3051.1
Image_02.vsi - 20x_04,3fb6a235-a5f6-4432-98cf-957317684a20,MnPO,,Image,Geometry,4942.7,5490.9,302,9,293,0,294754.1,3880.2
Image_02.vsi - 20x_04,f1c7f753-02c3-4c68-bcc2-50d7c40344eb,MPO,,Image,Polygon,5912.2,5888.8,1002,29,973,0,926242.3,4296.5
Image_02.vsi - 20x_04,48651152-3586-4b7c-960b-ab0592dd1160,TS,,Image,Polygon,5085.2,3235.7,353,90,263,0,240697.7,1859.1
Image_02.vsi - 20x_04,3865f711-58b0-4996-a39f-d6e45caf2625,Cg,,Image,Polygon,2664.5,347.49,452,2,450,0,357151.5,2295.7
Image_02.vsi - 20x_05,01cd69ec-5635-4824-b4f3-81c4002e2b14,AVPE,,Image,Geometry,4507.4,7110.1,795,31,764,0,649567.3,4651.3
Image_02.vsi - 20x_05,09f07c93-aaf2-48e1-9224-569ad8639672,MnPO,,Image,Polygon,4351.6,6114.9,258,8,250,0,189610.2,2014.4
Image_02.vsi - 20x_05,606d2e25-8a01-4307-91a1-b6749b6c9cfa,MPO,,Image,Geometry,4338.1,6504.2,1964,76,1888,0,1934239.1,8868.5
Image_02.vsi - 20x_05,e118a60b-dde5-4640-b9a9-37dbfe46792c,Cg,,Image,Polygon,2734,654.69,284,2,282,0,207189,1797.8
Image_03.vsi - 20x_02,ad53ccce-9c98-48b9-801e-fbd6e26d994b,TS,,Image,Polygon,3893.6,4060.7,429,51,378,0,366142.9,2245.3
Image_03.vsi - 20x_02,88639a03-2f04-417a-9512-1abb07d95788,MnPO,,Image,Polygon,3954.1,6306.2,319,34,285,0,205292.9,1954.2
Image_03.vsi - 20x_02,58a24588-16d1-45f0-890f-caf5cf6cdc92,Cg,,Image,Polygon,4353.2,2026.7,526,12,514,0,437765.5,2892.1
Image_03.vsi - 20x_02,cb396de1-b860-405a-94ba-d8d80b7dc2fb,AVPE,,Image,Geometry,4066.6,7359.9,1828,130,1698,0,1059122.8,7403.9
Image_03.vsi - 20x_03,f1731039-e047-4ba5-a7bd-7ab82af3d051,MnPO,,Image,Geometry,3860.6,5519.6,256,27,229,0,151534.4,3672.6
Image_03.vsi - 20x_03,10c2cb58-7132-48fd-a18c-abbe6727ff0a,TS,,Image,Polygon,3672.1,3364.9,633,34,599,0,543548.1,2661.2
Image_03.vsi - 20x_03,0e1e7ea3-d735-483d-923a-75d0a1756e50,Cg,,Image,Polygon,3880.3,1213.3,513,12,501,0,423388.1,2572
Image_03.vsi - 20x_03,48f00ad9-6419-458e-92de-b454036b2a3e,MPO,,Image,Geometry,3218.2,6334.7,1696,94,1602,0,746701.3,3594.3
Image_03.vsi - 20x_03,62fa60f3-abf0-43e2-a218-6dad49b704c7,AVPE,,Image,Geometry,4334.2,6495.8,1510,56,1454,0,784401.3,6593.7
Image_03.vsi - 20x_04,429f6125-9369-4cff-9663-7a784e46a073,MnPO,,Image,Polygon,4159.8,6125.8,239,13,226,0,168079.2,2044.8
Image_03.vsi - 20x_04,215af166-3b6f-4948-83dc-beeedd7a6dc6,MPO,,Image,Geometry,4223.6,6494.2,2118,127,1991,0,1835820.9,8477.8
