Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm,sp6-thresh: pS6 area µm^2,PS6_GAT_GLUT_FULL: DAPI %,PS6_GAT_GLUT_FULL: DAPI area µm^2,PS6_GAT_GLUT_FULL: GAT %,PS6_GAT_GLUT_FULL: GAT area µm^2,PS6_GAT_GLUT_FULL: GLUT %,PS6_GAT_GLUT_FULL: GLUT area µm^2,PS6_GAT_GLUT_FULL: pS6 %,PS6_GAT_GLUT_FULL: pS6 area µm^2,Num pS6
H1_15_neg-light_4lab06.vsi - 40x_05,8368d2d8-b064-44c9-8563-c0004de73d73,PathAnnotationObject,,Image,Rectangle,555.86,488.16,1695,435,508,745,7,99.59,217.46,5,2,7,763011.7,3517.1,,,,,,,,,,
H274_4_4lab06.vsi - 40x_01 #1,e50c457e-cd55-4ea1-ba14-ba0d927ac706,NDB,,Image,Geometry,2138.4,2178.2,733,241,299,193,0,100,193.45,5,2,7,576335.9,4817,48849.9688,66.2206,46624.1016,2.2278,1568.5436,7.1819,5056.5605,24.3697,17158.0469,
H274_4_4lab06.vsi - 40x_01 #1,80c907b6-a373-43fd-a5eb-22914144d84e,AVPE,,Image,Polygon,1985.4,1847.1,906,689,184,30,3,99.67,126.6,5,1,6,610654.8,3385.7,8288.0234,64.4597,81066.4688,8.5175,10711.8145,25.9282,32608.1309,1.0946,1376.6543,
H274_4_4lab06.vsi - 40x_01 #1,b39f30c0-f30c-497f-a2d3-5e6a8a16ac02,MnPO,,Image,Polygon,1891.6,993.63,563,452,99,8,4,99.29,119.72,5,1,6,298450.4,2885.7,1679.1832,94.4707,50463.3125,2.5976,1387.5333,2.7632,1476.0184,0.1686,90.043,
H274_4_4lab06.vsi - 40x_01 #1,9a3ef093-2586-485d-ac4d-7e5d70698350,MPO,,Image,Geometry,1989.2,1236.6,2270,1695,437,112,26,98.85,127.97,5,1,6,1820251,8193.7,16762.2324,90.7382,189327.7344,2.2038,4598.1865,5.6789,11849.2344,1.3791,2877.4939,
H274_4_4lab06.vsi - 40x_02 #2,4e24135d-b514-4f95-83e6-ac743ab9bedd,MnPO,,Image,Polygon,1021.9,864.8,557,346,150,61,,100,148.83,5,1,6,295114.4,2376,4919.7017,65.4092,40209.2383,19.4284,11943.3174,14.1908,8723.5811,0.9715,597.2147,
H274_4_4lab06.vsi - 40x_03 #3,81e88a8b-4d37-4650-98c3-51053c25f8e2,NDB,,Image,Geometry,1170.5,2011.7,478,8,109,361,,100,273.85,5,3,8,339470.6,3125,101595.4141,6.1936,12317.748,0.029,57.6962,84.2385,167533.1406,9.5389,18970.8418,
H274_4_4lab06.vsi - 40x_03 #3,6ec8dc71-d915-4198-954a-ce1806cc0601,AVPE,,Image,Geometry,1183.4,1925.1,722,81,341,300,,100,230.33,5,2,7,328617.6,3550.4,93107.5312,13.0046,26336.0156,0.1035,209.6866,76.8984,155729.4531,9.9934,20238.0195,
H274_4_4lab06.vsi - 40x_03 #3,be8b36c2-bbcd-43e2-a47a-52b5f27776c7,MnPO,,Image,Polygon,1119,1241.9,557,105,239,213,,100,219.39,5,2,7,290952.8,2515.7,35712.9062,14.3789,24533.8887,0.2768,472.3428,81.3197,138751.4844,4.0246,6867.0054,
H274_4_4lab06.vsi - 40x_03 #3,b9d1cd64-c895-4f07-84f0-5c82dad22457,MPO,,Image,Geometry,1146.9,1298.3,2355,324,927,1104,,100,233.12,5,2,7,1633980.2,7274.7,189006.2344,10.4086,86239.6328,0.1454,1204.5956,85.637,709542.125,3.809,31559.4336,
