Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,FOS_HighClass: FOS area µm^2,Num Detections,Num FOS,Area µm^2,Perimeter µm
Image_02.vsi - 20x_03,33257def-6d26-463c-9257-13897b880feb,PathAnnotationObject,,Image,Polygon,2350,3160,140822.0938,2035,2035,3300444.7,7346.7
Image_02.vsi - 20x_04,e3cb410f-e0e6-4e5e-bde0-887d2364d51f,PathAnnotationObject,,Image,Polygon,2890,3570,202834.6094,3185,3185,4585466.4,8613.3
Image_02.vsi - 20x_05,dc61eaea-139a-4e2c-b902-2758b6a2efa9,PathAnnotationObject,,Image,Polygon,2400,3530,199799.2969,3348,3348,3765333.5,7906.7
Image_03.vsi - 20x_01,4651ad35-5c5e-4a86-9400-0bf9c7f60b83,PathAnnotationObject,,Image,Polygon,2760,4630,244140.7344,3942,3942,5679466.9,9853.3
Image_03.vsi - 20x_02,728637b4-42f2-4eee-8a06-340514418e80,PathAnnotationObject,,Image,Polygon,2370,4079.9,208983.6094,3545,3545,4297599.8,8600
Image_03.vsi - 20x_04,4cbff41c-b37c-4a2c-bd75-d939b7417401,PathAnnotationObject,,Image,Polygon,2600,3320,271234.2188,5000,5000,3836444.6,7893.3
Image_04.vsi - 20x_03,6385ecca-7e6b-42a4-b5fe-4027737a82ac,PathAnnotationObject,,Image,Polygon,2625.7,3969,1591077.375,28403,28403,28451289.9,19830.5
Image_04.vsi - 20x_04,95470fb3-abe2-42a5-945e-2da31d9ff7ad,PathAnnotationObject,,Image,Polygon,3908.8,4195.4,1311194.25,22852,22852,21879821.7,19080.1
Image_04.vsi - 20x_05,1ca7790d-3358-43fb-9068-c801054242a9,PathAnnotationObject,,Image,Polygon,3450,5020,581212.125,10597,10597,7697333.9,11293.3
Image_05.vsi - 20x_03,cb72efa7-395e-4df5-8ca7-24a1ddd9f225,PathAnnotationObject,,Image,Polygon,3860,4660,401740.75,6553,6553,7994488.4,11360
Image_05.vsi - 20x_04,f576cdbb-e0c0-4233-9b2d-5dbf6667f74a,PathAnnotationObject,,Image,Polygon,3710,4940,456662,7666,7666,8145510.7,11533.3
Image_05.vsi - 20x_05,59c5593d-7d35-43e8-a046-17167d62d65c,PathAnnotationObject,,Image,Polygon,5473.7,5464.2,1952595.25,34206,34206,29897157,20652
Image_08.vsi - 20x_03,2dc81759-3c69-44cd-a659-32efe31b2c4f,PathAnnotationObject,,Image,Polygon,2190,3230,282705.375,5303,5303,3143866.5,7226.7
Image_08.vsi - 20x_04,af8e5b53-b823-49fe-b107-740cbc9e2a0e,PathAnnotationObject,,Image,Polygon,2770,3040,304430.125,5498,5498,3742577.9,7746.7
Image_08.vsi - 20x_05,8d4a488d-823a-42b9-8c1b-fb20e14b8390,PathAnnotationObject,,Image,Polygon,2980,3290,455313.0938,8755,8755,4357422.7,8360
Image_09.vsi - 20x_01,6dcd4005-1de1-4bfd-9d44-e32ab553cf73,PathAnnotationObject,,Image,Polygon,3350.1,4229.9,351769.4688,5827,5827,6298000.2,10106.7
Image_09.vsi - 20x_03,087eb397-89ed-4445-8404-30c69b52f7b4,PathAnnotationObject,,Image,Polygon,3290,4610,447059,7883,7883,6740844.1,10533.3
Image_10.vsi - 20x_01,81ebbe7a-3825-4614-b530-c8b3c11f2dd4,PathAnnotationObject,,Image,Polygon,3080,5180,495399.375,9188,9188,7090844.6,11013.3
Image_10.vsi - 20x_02,5c6e8725-11f4-417c-8ec8-e5f7d29b7461,PathAnnotationObject,,Image,Polygon,3000,4680,519581.75,9951,9951,6240000.7,10240
Image_10.vsi - 20x_03,738273e4-0e0b-47be-b325-119faf21b668,PathAnnotationObject,,Image,Polygon,3490,4810,610350.0625,11781,11781,7460844.9,11066.7
Image_10.vsi - 20x_05,782991f1-9ade-4e94-8075-cfd3f05369c2,PathAnnotationObject,,Image,Polygon,3330,5020,692683.25,13208,13208,7429600.5,11133.3
Image_11.vsi - 20x_01,e2028989-88cf-41b8-8168-32babcf436b0,PathAnnotationObject,,Image,Polygon,3990,4370,267492.2812,4006,4006,7749466.6,11146.7
Image_11.vsi - 20x_04,e0041f45-e2c7-4b27-aede-a5d62a8ae2b6,PathAnnotationObject,,Image,Polygon,2370,4310,213832.2812,3494,3494,4539866.9,8906.7
Image_11.vsi - 20x_05,1b44f19a-073b-45be-80cc-cbdc6ebfb094,PathAnnotationObject,,Image,Polygon,2370,4570,267153.4375,4415,4415,4813733.4,9253.3
Image_11.vsi - 20x_06,00451595-f202-4cd0-938e-797f48dc6584,PathAnnotationObject,,Image,Polygon,2900,4049.9,335918.5,5731,5731,5220000.5,9266.7
Image_12.vsi - 20x_02,df7d1752-55ef-4c3b-8eac-7b6ce5d4d852,PathAnnotationObject,,Image,Polygon,3080,3840,169796.625,2437,2437,5256533.4,9226.7
Image_12.vsi - 20x_04,6123dafd-66a4-4ab4-b73d-714ea8e121f6,PathAnnotationObject,,Image,Polygon,3420.1,4139.9,402279.125,6945,6945,6292800.2,10080
Image_12.vsi - 20x_05,1f72fbf0-7b64-4c12-a224-1df01c6ad32f,PathAnnotationObject,,Image,Polygon,4090.1,4109.9,383997.75,6453,6453,7471066.5,10933.3
Image_13.vsi - 20x_01,8b39db81-1fde-4d85-a40b-4e4b889743ce,PathAnnotationObject,,Image,Polygon,3490,4970,358072.0312,6066,6066,7709021.9,11280
Image_13.vsi - 20x_02,d7444960-bbc4-43e3-a4bc-f4dba11c5e78,PathAnnotationObject,,Image,Polygon,3490,4680,327274.4375,5282,5282,7259199.9,10893.3
Image_13.vsi - 20x_03,a994aeff-1b03-4e61-93ed-ec688453d9c5,PathAnnotationObject,,Image,Polygon,3650,4900,592569.125,10902,10902,7948888.4,11400
Image_13.vsi - 20x_04,1b9b44f7-a534-42ad-821d-619e9b9e1c49,PathAnnotationObject,,Image,Polygon,3510,4800,632882.6875,11961,11961,7488000.1,11080
Image_14.vsi - 20x_02,8e9df3a9-5f95-49da-9b1d-584bbc1fbfc6,PathAnnotationObject,,Image,Polygon,3440,4800,259171.3281,4279,4279,7338666.3,10986.7
Image_14.vsi - 20x_04,44f438ed-e420-441f-9438-d1b13f656bbd,PathAnnotationObject,,Image,Polygon,4040,5230,457936.0625,7757,7757,9390755.6,12360
Image_14.vsi - 20x_05,970a35ae-ea29-4314-9184-918b69559ae0,PathAnnotationObject,,Image,Polygon,3870,5110,492480.25,8540,8540,8789199.9,11973.3
Image_16.vsi - 20x_03,3146feea-ed8d-4efb-a591-06c2ee5b3603,PathAnnotationObject,,Image,Polygon,2445.5,3065.7,761361.25,13858,13858,9886577.7,13739.2
Image_16.vsi - 20x_05,d36a42e9-add0-4d21-b93e-aae8a0d6c629,PathAnnotationObject,,Image,Polygon,2280,4410,295660.25,5500,5500,4468800.3,8920
Image_16.vsi - 20x_06,e63568b9-e675-4cb1-80b3-42679bec144a,PathAnnotationObject,,Image,Polygon,2300,4169.9,225311.6875,3860,3860,4262667.2,8626.7
