"","X","Name","ID","group","num_detections_mean","num23_mean","area_mean","FOSmm2"
"1",1,"AVPE",NA,"T40",1574.66666666667,127.333333333333,729766.633333333,174.485003173845
"2",2,"AVPE",NA,"IBE1",1198,110.666666666667,695048.166666667,159.22157912797
"3",3,"AVPE",NA,"T40",1443,128.333333333333,696139.866666667,184.349926614364
"4",4,"AVPE",NA,"IBE2",1504.66666666667,37,712615.333333333,51.9214199713169
"5",5,"AVPE",NA,"ENT",1576,34.5,707165.35,48.7863269884476
"6",6,"AVPE",NA,"A2",1190,60.6666666666667,709074.666666667,85.5575153345393
"7",7,"AVPE",NA,"T40",1785.66666666667,120.333333333333,689951.2,174.408470241566
"8",8,"AVPE",NA,"IBE2",1481.66666666667,51,704375.333333333,72.4045797553009
"9",9,"AVPE",NA,"A2",1211.66666666667,22.3333333333333,697292.933333333,32.0286242204854
"10",10,"AVPE",NA,"ENT",1359,5,725567.7,6.8911557115897
"11",11,"AVPE",NA,"IBE1",1277,89.3333333333333,803717.833333333,111.150119641906
"12",12,"AVPE",NA,"IBE2",1547.66666666667,47,702665.4,66.8881661171875
"13",13,"AVPE",NA,"IBE1",1403.66666666667,125.333333333333,699299.166666667,179.227059472638
"14",14,"AVPE",NA,"A1",1097.33333333333,54.6666666666667,705679.533333333,77.4667027800061
"15",15,"AVPE",NA,"A1",1239,49.3333333333333,704330.466666667,70.0428785465004
"16",16,"AVPE",NA,"A1",1457,60,698487.2,85.8999277295275
"17",17,"AVPE",NA,"IBE1",1480.66666666667,136.666666666667,706157.133333333,193.535773010672
"18",18,"AVPE",NA,"A2",1370,33,701555.133333333,47.0383558355642
"19",19,"AVPE",NA,"A2",1399.66666666667,45.3333333333333,691133.6,65.5927209056734
"20",20,"AVPE",NA,"st64",1581,74.6666666666667,696712.866666667,107.169926434544
"21",21,"AVPE",NA,"T40",1508,128.333333333333,703731.233333333,182.361286887129
"22",22,"AVPE",NA,"A1",1564,21.3333333333333,706574.7,30.1926085569343
"23",23,"AVPE",NA,"A1",1617.5,32,704864.35,45.3988061674562
"24",24,"AVPE",NA,"ENT",1542.33333333333,32.6666666666667,706644.266666667,46.2278804309269
"25",25,"AVPE",NA,"ENT",1690.33333333333,55.3333333333333,689855.2,80.2100692048611
"26",26,"AVPE",NA,"ENT",1748.33333333333,38,700241.066666667,54.2670257557016
"27",27,"AVPE",NA,"IBE2",1400.5,56,719126.9,77.872208646346
"28",28,"cAVPE",NA,"ENT",1409,35,751985.1,46.5434753959886
"29",29,"LPO",NA,"T40",941,29.3333333333333,672145.533333333,43.6413423561147
"30",30,"LPO",NA,"IBE1",975,21,615362.1,34.1262485941204
"31",31,"LPO",NA,"T40",859,33,630034.566666667,52.3780785149513
"32",32,"LPO",NA,"IBE2",902.666666666667,9.33333333333333,613658.933333333,15.2093171407701
"33",33,"LPO",NA,"ENT",962.333333333333,14.3333333333333,615110.2,23.3020576367183
"34",34,"LPO",NA,"A2",656.75,12.25,605476.425,20.2320016010532
"35",35,"LPO",NA,"T40",941.333333333333,23.6666666666667,603937.7,39.1872649557507
"36",36,"LPO",NA,"IBE2",913,7.66666666666667,609738.9,12.5736879616286
"37",37,"LPO",NA,"A2",879.666666666667,11.3333333333333,588549.6,19.2563775989879
"38",38,"LPO",NA,"ENT",813,12,616224.45,19.4734240097095
"39",39,"LPO",NA,"IBE1",866.5,23.5,593535.75,39.5932342744308
"40",40,"LPO",NA,"IBE2",1019,5,600765.733333333,8.32271170370792
"41",41,"LPO",NA,"IBE1",920,9.33333333333333,606079.533333333,15.3995190730194
"42",42,"LPO",NA,"A1",755.666666666667,22.3333333333333,604976.833333333,36.9160141393844
"43",43,"LPO",NA,"A1",766,16.3333333333333,605220.333333333,26.9874167038891
"44",44,"LPO",NA,"A1",1040,15,587745.1,25.5212676379607
"45",45,"LPO",NA,"IBE1",872,4,603208.4,6.63120739034801
"46",46,"LPO",NA,"A2",881,9.5,604040.8,15.7274144395544
"47",47,"LPO",NA,"A2",954.666666666667,15.6666666666667,607372.333333333,25.7941723830029
"48",48,"LPO",NA,"st64",1016,16.3333333333333,639965.366666667,25.5222144573344
"49",49,"LPO",NA,"T40",997.333333333333,26,602092.133333333,43.1827598478284
"50",50,"LPO",NA,"A1",799.333333333333,12.3333333333333,509649.4,24.1996426039809
"51",51,"LPO",NA,"A1",938.5,4,600598.7,6.66002107563669
"52",52,"LPO",NA,"ENT",944.333333333333,4,634600.9,6.30317416820556
"53",53,"LPO",NA,"ENT",1112.66666666667,14.3333333333333,599455.166666667,23.9106010430026
"54",54,"LPO",NA,"ENT",916.5,14.5,596254.05,24.3184930987052
"55",55,"LPO",NA,"IBE2",1032,3,600368.5,4.99693105151253
