"","X","Name","ID","group","num_det_mean","pos_th_mean","area_mean","AreaFOSmm2"
"1",1,"ARC","H028","T40",334.375,172.9361625,88066.025,1963.71032415736
"2",2,"ARC","H038","T40",245.25,125.44585,96918.225,1294.34737377825
"3",3,"ARC","H069","T40",374.9,561.65908,102904.19,5458.07784891947
"4",4,"ARC","H074","T40",382.5,262.95245,93814.4833333333,2802.89823763886
"5",5,"ARC","H211","IBE2",393,13.7291,100153.5,137.080581307693
"6",6,"ARC","H216","A1",397.666666666667,91.0968,108383.833333333,840.501735344911
"7",7,"ARC","H222","A1",421.333333333333,209.924066666667,105355.033333333,1992.53951163859
"8",8,"ARC","H224","IBE1",330,78.3251333333333,106532.666666667,735.221747320068
"9",9,"ARC","H236","A2",306,181.8021,98300.2714285714,1849.45674470598
"10",10,"ARC","H241","ENT",245.333333333333,102.6047,111515.266666667,920.095544466555
"11",11,"ARC","H243","ENT",323.5,190.6029,98904.65,1927.13790504289
"12",12,"ARC","H245","IBE1",397.333333333333,26.4391666666667,110599.933333333,239.052283937484
"13",13,"ARC","H248","A2",326.666666666667,547.9661,102908.95,5324.76621323996
"14",14,"ARC","H254","ENT",367,53.5548333333333,104278.666666667,513.574205014766
"15",15,"ARC","H263","A1",392.666666666667,218.426766666667,97301.9333333333,2244.8348062971
"16",16,"ARC","H264","IBE1",541,18.40645,101539.85,181.273165166188
"17",17,"ARC","H268","IBE1",504.666666666667,211.109,104613.3,2017.99388796644
"18",18,"ARC","H273","A2",366.333333333333,105.203566666667,97836.5666666667,1075.29904463124
"19",19,"ARC","H275","IBE2",535.6,112.34656,153631.18,731.274471757621
"20",20,"ARC","H276","A1",301,592.761625,102431.9,5786.88499383493
"21",21,"ARC","H278","IBE1",404,115.4389,105989.45,1089.15462812572
"22",22,"ARC","H298","A1",341.75,51.451125,91617.275,561.587593606119
"23",23,"ARC","H300","A2",524,2.5561,101546.8,25.171644995214
"24",24,"ARC","H301","IBE2",399.615384615385,51.6163153846154,95608.4307692308,539.872006781507
"25",25,"ARC","H319","ENT",330.75,73.44135,102336.175,717.647987136514
"26",26,"ARC","H327","IBE2",260.6,62.11552,105116.06,590.923213826698
"27",27,"ATAN","H028","T40",330,876.8492125,26008.425,33714.0450642436
"28",28,"ATAN","H038","T40",181,184.585,22745.525,8115.222664678
"29",29,"ATAN","H069","T40",224.6,834.17007,20543.77,40604.5273092524
"30",30,"ATAN","H074","T40",326.833333333333,1557.7743,28764.15,54156.7993491899
"31",31,"ATAN","H211","IBE2",277,161.5605,21821.7,7403.66240943648
"32",32,"ATAN","H216","A1",401.333333333333,135.135866666667,44644.9,3026.90490216502
"33",33,"ATAN","H222","A1",523.666666666667,5868.66733333333,42585.9,137807.756401375
"34",34,"ATAN","H224","IBE1",294.666666666667,140.048933333333,27013.1,5184.48209695788
"35",35,"ATAN","H236","A2",266,414.443557142857,23635.5857142857,17534.7275990018
"36",36,"ATAN","H241","ENT",175.666666666667,88.2442333333333,24393.1666666667,3617.58005998947
"37",37,"ATAN","H243","ENT",350.5,113.12385,29684.275,3810.90156320139
"38",38,"ATAN","H245","IBE1",237.666666666667,72.4836,19847.2,3652.08190576001
"39",39,"ATAN","H248","A2",299,389.673783333333,33772.9,11538.0610884269
"40",40,"ATAN","H254","ENT",297.333333333333,84.3224666666667,26769.9333333333,3149.89453341934
"41",41,"ATAN","H263","A1",179,157.598933333333,15772.3333333333,9992.11277130841
"42",42,"ATAN","H264","IBE1",312,261.491575,22463.875,11640.5373071209
"43",43,"ATAN","H268","IBE1",537,339.415466666667,37880.0666666667,8960.26582142587
"44",44,"ATAN","H273","A2",723,1859.0124,61266.4,30343.0983377512
"45",45,"ATAN","H275","IBE2",407.25,138.358025,37121.775,3727.13925990877
"46",46,"ATAN","H276","A1",198.75,2667.40095,22987.475,116037.14414045
"47",47,"ATAN","H278","IBE1",360.25,665.794525,33431.7,19915.0663890858
"48",48,"ATAN","H298","A1",592,6695.11705,48063.4,139297.616273505
"49",49,"ATAN","H300","A2",267.5,367.6943,27521.75,13360.1351658234
"50",50,"ATAN","H301","IBE2",219.083333333333,169.31215,16665.1166666667,10159.673849668
"51",51,"ATAN","H319","ENT",265.5,25.3698,30435.675,833.554701842492
"52",52,"ATAN","H327","IBE2",243.2,107.91426,24770.4,4356.5812421277
"53",53,"AVPE","H028","T40",2209.33333333333,4421.01863333333,726382.166666667,6086.35348747777
"54",54,"AVPE","H038","T40",2170,4756.43475,696727.325,6826.8238941253
"55",55,"AVPE","H069","T40",2200.5,5163.2082,715798.55,7213.21410891374
"56",56,"AVPE","H074","T40",2106.8,5340.23818,706883.64,7554.62126694572
"57",57,"AVPE","H211","IBE2",2221.33333333333,2232.73143333333,692737.133333333,3223.0572404713
"58",58,"AVPE","H216","A1",2718.66666666667,3931.7874,692901,5674.3855182775
"59",59,"AVPE","H222","A1",1873.75,1647.471325,707067,2330.00737553867
"60",60,"AVPE","H224","IBE1",1962,4977.795125,642852.6,7743.29158037161
"61",61,"AVPE","H230","ENT",2185.5,2077.05355,662078.85,3137.16946251946
"62",62,"AVPE","H236","A2",2010.44444444444,2420.52675555556,688839.111111111,3513.92178015444
"63",63,"AVPE","H241","ENT",2299.75,1528.420875,699477.7,2185.08878124349
"64",64,"AVPE","H243","ENT",2037.33333333333,2317.2106,695482.533333333,3331.8027253596
"65",65,"AVPE","H245","IBE1",1096,2698.2016,686723.4,3929.09517864107
"66",66,"AVPE","H250","A2",2193,2268.12776666667,704004.366666667,3221.75241242585
"67",67,"AVPE","H254","ENT",3246.66666666667,1026.924,715225.4,1435.80471275209
"68",68,"AVPE","H263","A1",1663,2100.57696666667,698041.266666667,3009.24467789345
"69",69,"AVPE","H264","IBE1",2760,3474.331,738251,4706.16497641046
"70",70,"AVPE","H268","IBE1",1992.33333333333,3148.14936666667,716023.133333333,4396.714603355
"71",71,"AVPE","H273","A2",1560,866.867533333333,703726.733333333,1231.82407640996
"72",72,"AVPE","H274","IBE2",2101,1916.8028,732007.75,2618.55533633353
"73",73,"AVPE","H275","IBE2",2358,2919.64905,692669,4215.07105125247
"74",74,"AVPE","H276","A1",2224.5,3189.70555,688254.6,4634.48489846635
"75",75,"AVPE","H278","IBE1",2041.5,3700.63315,693116.35,5339.12257299947
"76",76,"AVPE","H298","A1",2070.5,1621.931025,701742.6,2311.29052874943
"77",77,"AVPE","H300","A2",2235.75,2041.6819,696433.475,2931.62516348026
"78",78,"AVPE","H301","IBE2",2570.33333333333,2737.02303333333,708578.433333333,3862.69593396694
"79",79,"AVPE","H307","ENT",2807.33333333333,3069.56073333333,690027.566666667,4448.46102042203
"80",80,"AVPE","H319","ENT",2394.75,2758.155225,701710.25,3930.61840695643
"81",81,"BTAN","H028","T40",236.5,778.0087,20891.025,37241.2890224391
"82",82,"BTAN","H038","T40",207.75,478.27795,30051.95,15915.03879116
"83",83,"BTAN","H069","T40",273.444444444444,1139.70402222222,27059.5777777778,42118.3224506253
"84",84,"BTAN","H074","T40",189.666666666667,675.930533333333,19210.85,35184.832182508
"85",85,"BTAN","H216","A1",366,837.939466666667,34494.4333333333,24292.0200650733
"86",86,"BTAN","H222","A1",245.333333333333,802.1191,23382.9666666667,34303.5642754198
"87",87,"BTAN","H224","IBE1",174,116.76305,18100.75,6450.72994212947
"88",88,"BTAN","H236","A2",258.142857142857,1211.69021428571,22555.2142857143,53721.0686157459
"89",89,"BTAN","H241","ENT",202.333333333333,136.4813,35701.6333333333,3822.83070148985
"90",90,"BTAN","H243","ENT",345.666666666667,380.3176,32186.0333333333,11816.2308496128
"91",91,"BTAN","H248","A2",362,2137.21635,37104.5166666667,57599.8973170831
"92",92,"BTAN","H254","ENT",279.5,224.07915,30072.1,7451.39680966743
"93",93,"BTAN","H263","A1",165.666666666667,253.535633333333,13844.2,18313.4910889277
"94",94,"BTAN","H264","IBE1",314.75,448.0397,25664.275,17457.7189497853
"95",95,"BTAN","H268","IBE1",287.666666666667,56.8838,22779.2666666667,2497.17433104372
"96",96,"BTAN","H273","A2",297,127.8307,24845,5145.12779231234
"97",97,"BTAN","H275","IBE2",285.333333333333,148.314466666667,31166.9,4758.71731441584
"98",98,"BTAN","H276","A1",292.5,1151.53,26970.825,42695.3940044474
"99",99,"BTAN","H278","IBE1",236.5,206.384175,21097.725,9782.29524747337
"100",100,"BTAN","H298","A1",297.25,841.156525,27527.975,30556.4257814096
"101",101,"BTAN","H300","A2",311.333333333333,1593.39023333333,37388.8333333333,42616.741183865
"102",102,"BTAN","H301","IBE2",180.818181818182,85.9582818181818,15035.1909090909,5717.13936576674
"103",103,"BTAN","H319","ENT",235,126.440625,25738.125,4912.58104465652
"104",104,"BTAN","H327","IBE2",177.4,107.45048,20921.62,5135.85850426497
"105",105,"CP","H028","T40",1172.16666666667,28771.1673,173364.083333333,165958.062055338
"106",106,"CP","H038","T40",1066.75,192544.396475,238732.9,806526.442208007
"107",107,"CP","H069","T40",1246.5,146528.07715,165069.55,887674.784053146
"108",108,"CP","H074","T40",998.166666666667,142912.45475,155464.733333333,919259.639699638
"109",109,"CP","H211","IBE2",925.666666666667,38.8595333333333,114645.566666667,338.953650482777
"110",110,"CP","H224","IBE1",447.75,1449.47165,57195.3,25342.49579948
"111",111,"CP","H230","ENT",1421,32368.3823,199408,162322.385761855
"112",112,"CP","H241","ENT",623.6,1540.41956,120059.12,12830.5085028109
"113",113,"CP","H243","ENT",805.428571428571,29777.1299571429,105459.057142857,282357.255639088
"114",114,"CP","H245","IBE1",1984.33333333333,1282.23293333333,231884.8,5529.61183024213
"115",115,"CP","H248","A2",654,110727.255028571,118474.228571429,934610.47490014
"116",116,"CP","H250","A2",571,22228.0320666667,73003.9,304477.323357611
"117",117,"CP","H254","ENT",276,4755.1018,34358.9,138395.05339228
"118",118,"CP","H263","A1",795.166666666667,101002.1679,116035.283333333,870443.58404204
"119",119,"CP","H264","IBE1",1080,1218.94263333333,104157.3,11702.9016049123
"120",120,"CP","H268","IBE1",927,151.325875,142247.7,1063.81948530627
"121",121,"CP","H275","IBE2",632.333333333333,265.007266666667,93567.0333333333,2832.27176523356
"122",122,"CP","H276","A1",1123.5,169482.6875,172734.25,981175.924867245
"123",123,"CP","H278","IBE1",1060.33333333333,381.700066666667,144030.6,2650.1317544096
"124",124,"CP","H298","A1",743.5,126575.669925,128867.875,982212.750268444
"125",125,"CP","H300","A2",956,76875.7382666667,113974.166666667,674501.428832555
"126",126,"CP","H301","IBE2",409.125,383.159175,51483.425,7442.37927060991
"127",127,"CP","H327","IBE2",1098,296.620166666667,148896.466666667,1992.12360982821
"128",128,"DMH","H028","T40",751.5,2133.0703,205204.875,10394.8324814408
"129",129,"DMH","H038","T40",554.5,1166.95433333333,200490.6,5820.49399489717
"130",130,"DMH","H069","T40",640.3,1774.96196,204771.88,8667.99660187717
"131",131,"DMH","H074","T40",867.166666666667,2283.39298333333,203267.616666667,11233.4321658221
"132",132,"DMH","H211","IBE2",927,448.659,204319.2,2195.87292824169
"133",133,"DMH","H216","A1",837.333333333333,1505.987,205094.133333333,7342.90628173341
"134",134,"DMH","H222","A1",902.333333333333,674.525633333333,220794.3,3054.99568301053
"135",135,"DMH","H224","IBE1",809.666666666667,468.1239,205132.5,2282.05623194764
"136",136,"DMH","H236","A2",623.142857142857,1787.82974285714,197092.442857143,9071.02127783255
"137",137,"DMH","H241","ENT",584.666666666667,3053.79413333333,210008.066666667,14541.3182541242
"138",138,"DMH","H243","ENT",773,3465.699575,205363.425,16875.9338475193
"139",139,"DMH","H245","IBE1",861,373.553233333333,209806.366666667,1780.46662390766
"140",140,"DMH","H248","A2",814.5,7388.99711666667,206943.183333333,35705.4385539478
"141",141,"DMH","H254","ENT",883.333333333333,3049.0849,206473.566666667,14767.4346369115
"142",142,"DMH","H263","A1",814,834.873933333333,201066.3,4152.23204153721
"143",143,"DMH","H264","IBE1",1007.25,1092.30955,205124.4,5325.10783700038
"144",144,"DMH","H268","IBE1",929,393.307766666667,207257.7,1897.67505220152
"145",145,"DMH","H273","A2",834.666666666667,328.1101,201494.566666667,1628.38187365515
"146",146,"DMH","H275","IBE2",816,344.84765,201078.15,1714.99315067301
"147",147,"DMH","H276","A1",619.75,1444.140825,207375.975,6963.87720419398
"148",148,"DMH","H278","IBE1",791.25,130.070525,201733.975,644.762613734251
"149",149,"DMH","H298","A1",827.25,939.5395,206771.025,4543.86440266474
"150",150,"DMH","H300","A2",731.75,181.2515,191179.75,948.06850620947
"151",151,"DMH","H301","IBE2",858.615384615385,729.627769230769,200193.553846154,3644.61170308949
"152",152,"DMH","H319","ENT",799.5,2532.139275,212062.45,11940.5357949981
"153",153,"DMH","H327","IBE2",721.4,346.5104,202544.94,1710.78280207839
"154",154,"LPO","H028","T40",1681.5,7940.42205,604663.275,13131.9734111519
"155",155,"LPO","H038","T40",1166,896.790933333333,599216.2,1496.60662267364
"156",156,"LPO","H069","T40",1317.75,934.86875,602243.975,1552.30901230685
"157",157,"LPO","H074","T40",1295.8,1686.33164,604154.82,2791.22434213138
"158",158,"LPO","H211","IBE2",1660,5190.02296666667,608059.233333333,8535.39043920996
"159",159,"LPO","H216","A1",1792,859.1254,602563.1,1425.78495098688
"160",160,"LPO","H222","A1",1018.5,869.45535,522319.925,1664.60306870353
"161",161,"LPO","H224","IBE1",1606,226.37615,552751.7,409.544014066352
"162",162,"LPO","H230","ENT",1494,7014.1759,622774.85,11262.7796385805
"163",163,"LPO","H236","A2",1222.33333333333,1244.17082222222,607076.533333333,2049.44641063744
"164",164,"LPO","H241","ENT",1491.5,7481.367625,595565.35,12561.7912878914
"165",165,"LPO","H243","ENT",1342.33333333333,2024.99993333333,605858.133333333,3342.36650780292
"166",166,"LPO","H245","IBE1",1027,958.7394,615048.8,1558.80216334053
"167",167,"LPO","H250","A2",1471.66666666667,4770.087,599585.333333333,7955.64323343467
"168",168,"LPO","H254","ENT",1369.66666666667,576.4984,607407.133333333,949.113647770793
"169",169,"LPO","H263","A1",1279,274.859333333333,600838.466666667,457.459614492058
"170",170,"LPO","H264","IBE1",1965,613.3146,596628.1,1027.96800888192
"171",171,"LPO","H268","IBE1",1569,402.9868,610534.85,660.055359657192
"172",172,"LPO","H273","A2",855.666666666667,1451.01286666667,604518.766666667,2400.2776202757
"173",173,"LPO","H274","IBE2",1617,782.3359,608018.7,1286.69710323054
"174",174,"LPO","H275","IBE2",1492,4910.8951,602257.8,8154.141133581
"175",175,"LPO","H276","A1",1414,6121.2466,589281.2,10387.64956357
"176",176,"LPO","H278","IBE1",1520,485.3665,588143.15,825.252321649925
"177",177,"LPO","H298","A1",1240.75,4650.581075,598912.525,7765.04227391137
