Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,PC_1: FOS area µm^2,ROI: 1.00 µm per pixel: CY3: Mean,ROI: 1.00 µm per pixel: CY3: Std.dev.,ROI: 1.00 µm per pixel: CY3: Min,ROI: 1.00 µm per pixel: CY3: Max,FOS_HighClass: FOS area µm^2,Num Detections,Num FOS,Area µm^2,Perimeter µm,Thresholder_IHC_MBH: FOS area µm^2,ROI: 1.00 µm per pixel: CY5: Mean,ROI: 1.00 µm per pixel: CY5: Std.dev.,ROI: 1.00 µm per pixel: CY5: Min,ROI: 1.00 µm per pixel: CY5: Max
Image_02.vsi - 20x_01,30ae7f45-511c-4c7e-845b-0d06e640c4b9,ARC,,Image,Geometry,3264.4,8501.5,205.6279,899.7886,196.6023,234,25143,3304.0208,5,5,296471.3,3485.2,,,,,
Image_02.vsi - 20x_01,b3623d27-6baf-4f85-a5cb-b4ded683fa4b,BTAN,,Image,Geometry,3219.2,8511.6,21.3338,509.8985,198.1299,71,6630,136.4661,1,1,11782.4,1770.3,,,,,
Image_02.vsi - 20x_01,56da68eb-cda1-480d-8830-0990622d5210,ATAN,,Image,Geometry,3137.1,7974.4,46.0471,700.3031,214.8032,134,2022,1086.0248,8,8,17387.8,3085.8,,,,,
Image_02.vsi - 20x_01,d0a71435-a47a-4569-b0cd-935cd64c0bf3,PH,,Image,Polygon,2780.8,6560,1402.22,1264.7772,220.7058,90,5730,24605.9297,72,72,718820.8,3734,,,,,
Image_02.vsi - 20x_01,740ce5a7-e094-4d0a-9e4f-9fde4d882a57,DMH,,Image,Geometry,3088.7,7450.2,4793.8662,1136.7408,244.7952,154,7467,16622.1367,126,126,401580.9,4217.8,,,,,
Image_02.vsi - 20x_01,6056c4a6-83c0-42b3-a3be-5bcdaee5dbfb,VMH,,Image,Geometry,3153.6,7968.8,547.4963,1062.4079,173.3767,136,7336,12628.4971,15,15,625520.7,4142.9,,,,,
Image_02.vsi - 20x_03,2fa62696-cdfd-4812-8cb3-bb9a35ea78e2,DMH,,Image,Geometry,1806,4353.8,3127.509,1108.1184,230.6708,452,11152,14673.0586,35,35,408049.8,4139.6,6592.1787,,,,
Image_02.vsi - 20x_03,018c647c-a495-42b2-b82c-e5d4a31c48fa,PH,,Image,Polygon,1677.7,3601.2,2658.6943,1167.0786,205.799,104,5001,25060.3223,34,34,680304.2,3400.8,12624.5527,,,,
Image_02.vsi - 20x_03,4d3e1e32-1908-49af-94b9-f6ac23518eba,VMH,,Image,Geometry,1842,4866.6,1691.1763,1168.5473,1451.6564,79,65535,18072.1406,3,3,604537.9,4061.9,6151.7285,,,,
Image_02.vsi - 20x_03,d061b6ce-174b-4e7f-960f-239cbda88be8,ARC,,Image,Geometry,1869.7,5272.7,949.7751,1081.2445,193.9227,394,15477,10094.2637,5,5,304357.4,3633.1,2651.4688,,,,
Image_02.vsi - 20x_03,710934ea-d939-4b44-93a6-5c828b74c09c,ATAN,,Image,Geometry,1804.1,4657.2,272.692,827.7331,305.6293,63,2598,2356.5745,0,0,21679.9,3394.8,131.5014,,,,
Image_02.vsi - 20x_03,49ad8326-02cd-49c4-9e15-260516a42726,BTAN,,Image,Geometry,1820.5,5248.9,86.2856,824.5104,280.8497,53,4538,1181.72,0,0,15737.4,2397,65.8035,,,,
Image_02.vsi - 20x_04,bffbc4a8-f314-4cf2-be25-da31596efdea,DMH,,Image,Geometry,2772.4,4921,3834.2693,1189.753,355.4541,186,60113,16626.4668,115,115,404326.9,3796.5,,,,,
Image_02.vsi - 20x_04,d8e1c907-70db-4349-b076-55dd737f1192,VMH,,Image,Geometry,2870.8,5382.7,1210.2161,1133.0932,195.6927,85,20943,19069.7578,64,64,604368.6,4124.5,,,,,
Image_02.vsi - 20x_04,14973505-143d-4038-862d-08adffdf8358,ARC,,Image,Geometry,2895.1,5737.6,1217.7145,1184.0049,226.3514,339,6846,12094.1465,66,66,302959.4,3657.7,,,,,
Image_02.vsi - 20x_04,7c785ea7-52d0-4b1b-9512-b9c4e57dba07,ATAN,,Image,Geometry,2776.7,5029.5,212.2815,1113.0906,236.551,139,2313,2101.3872,25,25,15972.9,3384.4,,,,,
Image_02.vsi - 20x_04,a12c469a-488d-4986-96fb-fa4c9ece5f02,BTAN,,Image,Geometry,2930.2,5673,203.9381,967.1742,266.2819,86,2669,1751.0327,12,12,14761.3,3526.4,,,,,
Image_02.vsi - 20x_04,889d9cb6-0ab4-4aaa-9318-8123a01cf2f0,PH,,Image,Polygon,2661.7,4108.8,3732.9868,1239.2738,198.2605,379,5489,28311.8477,157,157,697552.4,4629.9,,,,,
Image_02.vsi - 20x_05,bee9fc6f-a6c2-43a9-824d-95a7a7d79aa3,PH,,Image,Geometry,1768.5,4508.7,3908.6206,1360.6502,324.159,253,59343,31743.5684,196,196,605162.9,4213.6,,,,,
Image_02.vsi - 20x_05,ece1d2a1-5b14-43d9-9653-d05ffb346f36,ATAN,,Image,Geometry,1808.9,5335.4,198.7631,1188.8617,224.0431,193,2355,1832.8912,14,14,14881.8,3529.6,,,,,
Image_02.vsi - 20x_05,9e601b6b-67df-440e-aecf-3c2dbf8e7045,BTAN,,Image,Geometry,1871.9,6035.6,114.5898,934.573,301.1601,84,3277,1652.5913,12,12,16434.9,3989,,,,,
Image_02.vsi - 20x_05,6bfbccca-0f98-4397-a57d-ac48e5cbc945,DMH,,Image,Geometry,1823.6,5249.8,2778.4592,1261.8658,220.9652,227,17642,16060.6396,90,90,401608.2,3940.4,,,,,
Image_02.vsi - 20x_05,2c1d1a51-4a3a-4690-80d9-895fa2736aba,ARC,,Image,Geometry,1843.6,6008.2,863.2783,1156.3526,195.0105,248,3788,11285.5947,53,53,289317.8,3738,,,,,
Image_02.vsi - 20x_05,6b767576-f6b7-42e9-b0af-9c90c54a9379,VMH,,Image,Geometry,1840.9,5625.4,1533.7078,1217.6149,189.9724,104,13922,21798.0234,87,87,605400.5,4099.1,,,,,
Image_03.vsi - 20x_01,4338c107-0e48-4101-bd12-33a1df5c42e4,DMH,,Image,Geometry,2291.3,7521.3,855.5685,1077.7304,200.3946,162,3229,9188.8555,44,44,407461,4239.5,,,,,
Image_03.vsi - 20x_01,12b27d69-9303-4748-9833-11116b67850c,VMH,,Image,Geometry,2361.9,7965.3,192.6376,1002.4916,156.5127,159,6442,6679.1265,6,6,608842.7,4028.3,,,,,
Image_03.vsi - 20x_01,b2fb3f86-7a11-4c29-b730-5b5ad7d197b1,ARC,,Image,Geometry,2374.5,8312.7,267.4114,1025.9286,204.14,218,2831,6250.188,17,17,307715.5,3631.1,,,,,
Image_03.vsi - 20x_01,e09f1a8b-d007-42b3-9308-6e31caa064b0,PH,,Image,Geometry,2178,6605.6,2100.6367,1101.933,205.1951,372,33749,16896.5469,62,62,703657.6,4730.7,,,,,
Image_03.vsi - 20x_01,ee066a30-36ef-44c5-844a-cec7a8161662,BTAN,,Image,Geometry,2349.5,8306.1,6.2311,759.9685,188.5021,167,5456,236.3863,0,0,13609.5,3286.7,,,,,
Image_03.vsi - 20x_01,243be661-777f-4992-acaa-d25d5615ffac,ATAN,,Image,Geometry,2302.7,7589.7,75.6187,1026.9597,207.8732,340,2376,1084.8629,3,3,19275.5,3622.2,,,,,
Image_03.vsi - 20x_02,7a33b8d7-cf8f-4551-8528-2ea57dc78b02,ARC,,Image,Geometry,2054.3,6981,315.8876,1059.5811,181.3802,343,7330,6889.001,43,43,225716.6,2872.9,,,,,
Image_03.vsi - 20x_02,5155210a-cd2e-4297-808a-15158ff57a33,DMH,,Image,Geometry,1905.7,6315,1825.5156,1062.6545,185.2055,409,18157,10827.7158,82,82,407977.8,3896.9,,,,,
Image_03.vsi - 20x_02,309e49f7-c160-4e4c-970f-6eba61f7d9d6,VMH,,Image,Geometry,1970.7,6690,755.4477,1056.2638,169.4998,381,22271,11356.6797,42,42,606640.6,4193.1,,,,,
Image_03.vsi - 20x_04,60a50085-0bb2-467a-bf46-e33275320c3a,DMH,,Image,Geometry,1922.5,5052.8,1773.9767,1234.5689,282.8848,315,25429,15954.4873,111,111,408519,3648,,,,,
Image_03.vsi - 20x_04,1c8586fe-4321-4a16-8c11-be532c92b846,VMH,,Image,Geometry,2029.5,5390.5,2262.2241,1205.1212,247.6922,361,3552,23245.5996,174,174,606118.8,4321.7,,,,,
Image_03.vsi - 20x_04,7f90350a-14f7-4cf6-9d0f-8f9cad6aadef,ARC,,Image,Geometry,2018.1,5706.6,1689.2753,1255.6432,237.0293,263,17329,16126.127,135,135,297563.9,3381.5,,,,,
Image_04.vsi - 20x_03,f7a70325-efdc-419c-a30f-83806c7512a8,DMH,,Image,Geometry,3032.6,8042.1,290.5406,1224.4357,166.0825,316,5660,7989.9189,2,2,401519,3664.5,,,,,
Image_04.vsi - 20x_03,c8302d84-29eb-4fcd-8954-200b336f26cc,VMH,,Image,Geometry,3053.4,8471.8,476.8414,1357.8928,185.4069,402,5596,13352.4434,0,0,614668.6,4344.3,,,,,
Image_04.vsi - 20x_03,b3afd822-9c43-413d-b558-6993a1a8f5b1,ARC,,Image,Geometry,2964.1,8812,521.7268,1354.6875,229.7679,321,3843,8787.9072,2,2,304532.2,3757.6,,,,,
Image_04.vsi - 20x_04,3efdc51b-c314-4d48-b61c-ace1021ba2fc,DMH,,Image,Geometry,3149.5,6830.2,277.0221,1173.4049,203.2703,129,21961,9036.0176,1,1,402470.3,3774.5,,,,,
Image_04.vsi - 20x_04,963e2fff-1aed-4418-a386-d126665d0b5f,VMH,,Image,Geometry,3239.1,7267.8,611.6032,1362.0082,199.1017,420,7691,17033.4355,1,1,610659.9,4171.5,,,,,
Image_04.vsi - 20x_04,803ff6b5-804f-4ab9-a809-1996c6d6865c,ARC,,Image,Geometry,3314.7,7620.1,497.4359,1256.8963,240.3508,328,6480,10090.5664,0,0,300585.9,3349.6,,,,,
Image_04.vsi - 20x_05,898b2f8b-dda0-442b-9388-6b5eeb3466ae,DMH,,Image,Geometry,3961.9,8596.5,533.8723,1435.2186,187.4402,505,3195,12916.6396,4,4,406460.7,3545.3,,,,,
Image_04.vsi - 20x_05,e15fab63-51e1-462a-815c-ac074d27227f,VMH,,Image,Geometry,3963,8953,1912.5405,1586.7318,205.2412,561,5979,28162.6016,34,34,604212.4,4170.1,,,,,
Image_04.vsi - 20x_05,36b018df-51d0-4704-b0a5-cbbfde2996fb,ARC,,Image,Geometry,4025.2,9286.9,1055.7046,1418.7872,258.708,517,30888,13903.6943,7,7,298342,3542.5,,,,,
