Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_12.vsi - 40x_01 #1,e62e1852-3fd9-401c-aadc-974f200297cc,OVLT,,Image,Polygon,937.01,1572,345,2,0,2,341,1.159,2.319,2,2,4,89259.3,1230.1
Image_12.vsi - 40x_01 #1,e8413932-a7f6-46dc-a96f-f5a809ff1521,AVPE,,Image,Polygon,909.57,1375.7,1626,39,6,5,1576,3.075,4.059,2,1,3,698818,4778
Image_12.vsi - 40x_01 #1,f7124045-0ef9-4107-a948-301bcbd3d820,MnPO,,Image,Polygon,961.29,535.93,809,19,5,2,783,3.214,4.326,2,1,3,318240.3,2471.3
Image_12.vsi - 40x_01 #1,2262eeef-62a1-4b61-b434-e8816344814c,LPO,,Image,Rectangle,314.98,470.35,1212,23,3,1,1185,2.228,2.64,2,1,3,592599.5,3141.3
Image_12.vsi - 40x_02 #3,a36bc29f-82ba-4a74-bfa8-d58309a5cb6d,OVLT,,Image,Polygon,1113.4,1791.3,187,0,0,0,187,0,0,0,0,0,52614.8,961.92
Image_12.vsi - 40x_02 #3,d3fe752e-cfc3-438a-97ab-8742209be836,AVPE,,Image,Polygon,1109.2,1610,956,22,5,3,926,3.138,4.289,2,1,3,695924.8,4185.6
Image_12.vsi - 40x_02 #3,119dcbd0-aa55-4bf4-a4c6-cdba68ae2de2,MnPO,,Image,Polygon,1146.1,667.02,467,14,3,1,449,3.854,4.925,2,1,3,311668.2,2751.4
Image_12.vsi - 40x_02 #3,23e7c4bc-7e11-400a-a9d8-0c2b7c74730f,LPO,,Image,Rectangle,353.87,614.65,494,4,1,5,484,2.024,4.251,2,2,4,600371.3,3118.3
Image_12.vsi - 40x_03 #5,30b8b8f4-3bf8-4570-8836-0b66b9a466fe,AVPE,,Image,Polygon,806.41,1889.6,1288,36,11,5,1236,4.037,5.668,2,1,3,697136,3822.3
Image_12.vsi - 40x_03 #5,9117169b-3a35-4d54-9cc0-0c09852c499a,MnPO,,Image,Polygon,921.11,966.23,756,13,3,1,739,2.249,2.91,2,1,3,296418,2800.1
Image_12.vsi - 40x_03 #5,bd7afb56-b288-4113-814e-ee661cdc7936,LPO,,Image,Rectangle,335.86,946.38,1051,15,7,4,1025,2.474,3.901,2,1,3,572678,3048.5
Image_13.vsi - 40x_01 #1,5d5aba36-7e6a-4e1d-b927-409aedc20c0c,AVPE_x05,,Image,Polygon,995.32,2087,707,0,0,0,707,0,0,0,0,0,358182.4,2749.2
Image_13.vsi - 40x_01 #1,9d5216a3-3f43-49f4-87e6-b7429393ce95,MnPO,,Image,Polygon,847.19,648.5,640,8,2,2,628,1.875,2.812,2,1,3,322442,2720.7
Image_13.vsi - 40x_01 #1,e6336c18-56c7-4451-bda7-5bf34d7668e6,LPO,,Image,Rectangle,1890.1,1412,914,11,6,4,893,2.298,3.829,2,1,3,600006.6,3103.2
Image_13.vsi - 40x_01 #1,686f653e-02fe-4d7a-801b-f0c77842e59a,OVLT,,Image,Polygon,678.93,2222.5,360,0,0,0,360,0,0,0,0,0,104345.2,1236.6
Image_13.vsi - 40x_02 #3,9465a9f0-3264-42b0-b15a-25294d1c927b,OVLT,,Image,Polygon,659.97,2269.5,290,0,0,0,290,0,0,0,0,0,93701.8,1186.8
Image_13.vsi - 40x_02 #3,12d80226-8a7d-4864-a5e2-476e558f432f,AVPE_x05,,Image,Polygon,921.48,1999.6,483,1,1,0,481,0.4141,0.6211,1,1,2,367385.3,2524.3
Image_13.vsi - 40x_02 #3,d70c9367-3ba8-4ea5-8800-c892ada0d985,MnPO,,Image,Polygon,636.71,1095.1,450,0,0,0,450,0,0,0,0,0,353158.5,2776.9
Image_13.vsi - 40x_02 #3,328f005b-8dbb-4f2e-b84a-fee73803e19f,LPO,,Image,Rectangle,1788.5,1345.2,673,7,3,4,659,2.08,3.715,2,2,4,632442.3,3181.1
