Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,sp6-thresh: pS6 area µm^2,Num Detections,Num pS6,Area µm^2,Perimeter µm
H274_4_4lab06.vsi - 40x_01 #1,e50c457e-cd55-4ea1-ba14-ba0d927ac706,NDB,,Image,Geometry,2138.4,2178.2,48849.9688,273,273,576335.9,4817
H274_4_4lab06.vsi - 40x_01 #1,80c907b6-a373-43fd-a5eb-22914144d84e,AVPE,,Image,Polygon,1985.4,1847.1,8288.0234,54,54,610654.8,3385.7
H274_4_4lab06.vsi - 40x_01 #1,b39f30c0-f30c-497f-a2d3-5e6a8a16ac02,MnPO,,Image,Polygon,1891.6,993.63,1679.1832,6,6,298450.4,2885.7
H274_4_4lab06.vsi - 40x_01 #1,9a3ef093-2586-485d-ac4d-7e5d70698350,MPO,,Image,Geometry,1989.2,1236.6,16762.2324,129,129,1820251,8193.7
H274_4_4lab06.vsi - 40x_02 #2,4e24135d-b514-4f95-83e6-ac743ab9bedd,MnPO,,Image,Polygon,1021.9,864.8,4919.7017,31,31,295114.4,2376
H274_4_4lab06.vsi - 40x_03 #3,81e88a8b-4d37-4650-98c3-51053c25f8e2,NDB,,Image,Geometry,1170.5,2011.7,101595.4141,288,288,339470.6,3125
H274_4_4lab06.vsi - 40x_03 #3,6ec8dc71-d915-4198-954a-ce1806cc0601,AVPE,,Image,Geometry,1183.4,1925.1,93107.5312,195,195,328617.6,3550.4
H274_4_4lab06.vsi - 40x_03 #3,be8b36c2-bbcd-43e2-a47a-52b5f27776c7,MnPO,,Image,Polygon,1119,1241.9,35712.9062,146,146,290952.8,2515.7
H274_4_4lab06.vsi - 40x_03 #3,b9d1cd64-c895-4f07-84f0-5c82dad22457,MPO,,Image,Geometry,1146.9,1298.3,189006.2344,988,988,1633980.2,7274.7
H301_4_4lab06.vsi - 40x_01 #1,c9985ed2-8bc1-44a8-bb42-5d91af767fb4,NDB,,Image,Geometry,3307.1,8064.3,104869.7109,446,446,778791.2,4606.2
