Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,ROI: 1.00 µm per pixel: OD Sum: Mean,ROI: 1.00 µm per pixel: OD Sum: Std.dev.,ROI: 1.00 µm per pixel: OD Sum: Min,ROI: 1.00 µm per pixel: OD Sum: Max
H254-39.vsi - 20x,751a7c5e-b50d-406a-9330-8eca904114c4,FOS,FOS,DMH,Polygon,2765.1,7950,0.4139,,,
H254-39.vsi - 20x,c6578c6f-4381-4fbb-8a4c-9ff3d3362f47,FOS,FOS,DMH,Polygon,2803.9,7978.5,0.3564,,,
H254-39.vsi - 20x,725bfa16-2f9c-4ce2-abe8-1a6232ac55b6,FOS,FOS,DMH,Polygon,2952.6,7983.4,0.3756,,,
H254-39.vsi - 20x,da8abe5d-978a-4fc7-bfb9-d456ba98022f,FOS,FOS,DMH,Polygon,2909.1,7998.9,0.3564,,,
H254-39.vsi - 20x,1b951982-1439-4fd4-b524-6d485673a4de,FOS,FOS,DMH,Polygon,2129.6,8049.4,0.3537,,,
H254-39.vsi - 20x,30f5e46c-c002-4234-81d5-4d548a00b8f5,FOS,FOS,DMH,Polygon,2190.9,8050.2,0.3545,,,
H254-39.vsi - 20x,968e3051-02ee-4147-a3bd-615b486490a9,FOS,FOS,DMH,Polygon,2201.4,8058,0.3971,,,
H254-39.vsi - 20x,a552fdc0-e96f-4922-bb98-5787db8bd84a,FOS,FOS,DMH,Polygon,2906,8058.2,0.3377,,,
H254-39.vsi - 20x,e9f1d413-a9b8-4580-90f8-216e67627751,FOS,FOS,DMH,Polygon,2798.3,8066,0.3343,,,
H254-39.vsi - 20x,3f91ca39-32da-4b5f-9f99-8424e55e21ff,FOS,FOS,DMH,Polygon,2266.8,8078.8,0.3632,,,
H254-39.vsi - 20x,0d5df9ce-f137-467a-89df-bd0adda30163,FOS,FOS,DMH,Polygon,2245.9,8079.5,0.3583,,,
H254-39.vsi - 20x,438af98d-b098-490b-8783-b145143b5a55,FOS,FOS,DMH,Polygon,2902.4,8084.1,0.3604,,,
H254-39.vsi - 20x,8e5f0d47-436f-45c0-8926-675904cd354a,FOS,FOS,DMH,Polygon,2852.1,8108,0.3361,,,
H254-39.vsi - 20x,02a38912-f24f-4d88-85d1-7403ca89da66,FOS,FOS,DMH,Polygon,2318.1,8108.3,0.4479,,,
H254-39.vsi - 20x,836ea774-fcd9-4e99-8010-a8115c701a21,FOS,FOS,DMH,Polygon,2912.4,8109.5,0.4165,,,
