Image,Object ID,Name,Class,Parent,ROI,Centroid X,Centroid Y,Area,Perimeter,FOS_VIM_SYXG: FOS %,FOS_VIM_SYXG: FOS area,FOS_VIM_SYXG: Negative %,FOS_VIM_SYXG: Negative area,Num Detections,Num FOS,Num Negative,Positive %,Num points
Image_02.vsi - 20x_01,76219f99-8469-434d-b44f-fb42efb7f2e0,FOS,FOS,Image,Polygon,2954.5,7658.9,35.75,24.39,,,,,,,,,
Image_02.vsi - 20x_01,2482b084-fbc4-431f-9edf-56470f6ce791,FOS,FOS,Image,Polygon,3008.6,7668.5,46.69,29.74,,,,,,,,,
Image_02.vsi - 20x_01,53dce20c-e496-4a09-bdc1-44d920f982ae,FOS,FOS,Image,Polygon,3029.1,7793.9,22.34,19.8,,,,,,,,,
Image_02.vsi - 20x_01,a0f9cf28-756a-4e70-a413-7b377391817d,FOS,FOS,Image,Polygon,3147.2,7683.1,21.28,17.67,,,,,,,,,
Image_02.vsi - 20x_01,dd832d21-7e4e-4a24-95d2-fe8790e7ccea,FOS,FOS,Image,Polygon,3147.9,7648,51.07,27.3,,,,,,,,,
Image_02.vsi - 20x_01,a32832e7-d8a7-491d-acf1-13bceaac54d0,FOS,FOS,Image,Polygon,3182.9,7722.6,21.86,18.13,,,,,,,,,
Image_02.vsi - 20x_01,6f67a250-d79b-4eb7-b2d0-2809514c59b4,FOS,FOS,Image,Polygon,3207.7,7724.4,11.99,13.65,,,,,,,,,
Image_02.vsi - 20x_01,84cd9cba-d149-4ebf-a9ef-8d6d2cc3ec57,FOS,FOS,Image,Polygon,3203.6,7685.8,10.72,12.97,,,,,,,,,
Image_02.vsi - 20x_01,2c30d951-f757-4218-a162-f6ae1b9ff234,FOS,FOS,Image,Polygon,3207.1,7795.3,15.9,50.91,,,,,,,,,
Image_02.vsi - 20x_01,4ec2e89b-db44-4e23-a9dc-1dce3661cc95,FOS,FOS,Image,Polygon,3100.7,7580.2,11.94,14.11,,,,,,,,,
Image_02.vsi - 20x_01,6f1379c8-06ec-4dc0-9a73-4fa9dd298ffa,FOS,FOS,Image,Polygon,3096.2,7486,14.95,14.69,,,,,,,,,
Image_02.vsi - 20x_01,6922e2a1-9136-4709-92cd-2e34119ef7f2,FOS,FOS,Image,Polygon,3176.8,7549.1,62.48,36.44,,,,,,,,,
Image_02.vsi - 20x_01,b7098649-2c0d-4e2c-bdb2-77a3a289657c,FOS,FOS,Image,Polygon,3239.5,7560.8,59.36,33.2,,,,,,,,,
Image_02.vsi - 20x_01,39217cf5-d1d2-40a0-8907-7c9e80c57705,FOS,FOS,Image,Polygon,3269,7629.7,36.65,25.44,,,,,,,,,
Image_02.vsi - 20x_01,f596fe14-6029-4135-8b7a-44aa98c72455,FOS,FOS,Image,Polygon,3287.9,7650,45.05,28.67,,,,,,,,,
Image_02.vsi - 20x_01,0e5aa3c6-bd76-4d8a-aafc-d15f525facab,FOS,FOS,Image,Polygon,3310.6,7612.4,32.82,24.59,,,,,,,,,
