"Date and Time","Time (seconds)","60 deg N day90 lock (lx)"
"2021-03-12 11:04:40",0.0,252.5479
"2021-03-12 11:09:41",301.0,252.5479
"2021-03-12 11:14:42",602.0,252.5479
"2021-03-12 11:19:43",903.0,252.5479
"2021-03-12 11:24:44",1204.0,252.5479
"2021-03-12 11:29:45",1505.0,252.5479
"2021-03-12 11:34:46",1806.0,252.5479
"2021-03-12 11:39:47",2107.0,252.5479
"2021-03-12 11:44:48",2408.0,252.5479
"2021-03-12 11:49:49",2709.0,252.5479
"2021-03-12 11:54:50",3010.0,252.5479
"2021-03-12 11:59:51",3311.0,276.3161
"2021-03-12 12:04:52",3612.0,289.0264
"2021-03-12 12:09:53",3913.0,289.0264
"2021-03-12 12:14:54",4214.0,289.0264
"2021-03-12 12:19:55",4515.0,289.0264
"2021-03-12 12:24:56",4816.0,289.0264
"2021-03-12 12:29:57",5117.0,289.0264
"2021-03-12 12:34:58",5418.0,289.0264
"2021-03-12 12:39:59",5719.0,289.0264
"2021-03-12 12:45:00",6020.0,289.0264
"2021-03-12 12:50:01",6321.0,289.0264
"2021-03-12 12:55:02",6622.0,289.0264
"2021-03-12 13:00:03",6923.0,289.0264
"2021-03-12 13:05:04",7224.0,289.0264
"2021-03-12 13:10:05",7525.0,289.0264
"2021-03-12 13:15:06",7826.0,289.0264
"2021-03-12 13:20:07",8127.0,289.0264
"2021-03-12 13:25:08",8428.0,289.0264
"2021-03-12 13:30:09",8729.0,289.0264
"2021-03-12 13:35:10",9030.0,289.0264
"2021-03-12 13:40:11",9331.0,289.0264
"2021-03-12 13:45:12",9632.0,289.0264
"2021-03-12 13:50:13",9933.0,289.0264
"2021-03-12 13:55:14",10234.0,289.0264
"2021-03-12 14:00:15",10535.0,289.0264
"2021-03-12 14:05:16",10836.0,289.0264
"2021-03-12 14:10:17",11137.0,289.0264
"2021-03-12 14:15:18",11438.0,289.0264
"2021-03-12 14:20:19",11739.0,289.0264
"2021-03-12 14:25:20",12040.0,289.0264
"2021-03-12 14:30:21",12341.0,289.0264
"2021-03-12 14:35:22",12642.0,289.0264
"2021-03-12 14:40:23",12943.0,289.0264
"2021-03-12 14:45:24",13244.0,289.0264
