"Date and Time","Time (seconds)","iSBJORN19/3-19/4 (lx)"
"2021-03-16 11:11:03",0.0,201.6915
"2021-03-16 11:41:03",1800.0,192.8219
"2021-03-16 12:11:03",3600.0,192.8219
"2021-03-16 12:41:03",5400.0,210.9691
"2021-03-16 13:11:03",7200.0,201.6915
"2021-03-16 13:41:03",9000.0,220.6734
"2021-03-16 14:11:03",10800.0,210.9691
"2021-03-16 14:41:03",12600.0,201.6915
"2021-03-16 15:11:03",14400.0,192.8219
"2021-03-16 15:41:03",16200.0,192.8219
"2021-03-16 16:11:03",18000.0,201.6915
"2021-03-16 16:41:03",19800.0,192.8219
"2021-03-16 17:11:03",21600.0,192.8219
"2021-03-16 17:41:03",23400.0,220.6734
"2021-03-16 18:11:03",25200.0,220.6734
"2021-03-16 18:41:03",27000.0,220.6734
"2021-03-16 19:11:03",28800.0,4.8261
"2021-03-16 19:41:03",30600.0,4.8261
"2021-03-16 20:11:03",32400.0,4.8261
"2021-03-16 20:41:03",34200.0,4.8261
"2021-03-16 21:11:03",36000.0,4.6138
"2021-03-16 21:41:03",37800.0,4.6138
"2021-03-16 22:11:03",39600.0,4.6138
"2021-03-16 22:41:03",41400.0,4.6138
"2021-03-16 23:11:03",43200.0,4.6138
"2021-03-16 23:41:03",45000.0,4.6138
"2021-03-17 00:11:03",46800.0,4.6138
"2021-03-17 00:41:03",48600.0,4.6138
"2021-03-17 01:11:03",50400.0,4.6138
"2021-03-17 01:41:03",52200.0,4.6138
"2021-03-17 02:11:03",54000.0,4.6138
"2021-03-17 02:41:03",55800.0,4.6138
"2021-03-17 03:11:03",57600.0,201.6915
"2021-03-17 03:41:03",59400.0,210.9691
"2021-03-17 04:11:03",61200.0,192.8219
"2021-03-17 04:41:03",63000.0,220.6734
"2021-03-17 05:11:03",64800.0,201.6915
"2021-03-17 05:41:03",66600.0,201.6915
"2021-03-17 06:11:03",68400.0,210.9691
"2021-03-17 06:41:03",70200.0,210.9691
"2021-03-17 07:11:03",72000.0,210.9691
"2021-03-17 07:41:03",73800.0,192.8219
"2021-03-17 08:11:03",75600.0,210.9691
"2021-03-17 08:41:03",77400.0,192.8219
"2021-03-17 09:11:03",79200.0,210.9691
"2021-03-17 09:41:03",81000.0,220.6734
"2021-03-17 10:11:03",82800.0,210.9691
"2021-03-17 10:41:03",84600.0,192.8219
"2021-03-17 11:11:03",86400.0,192.8219
"2021-03-17 11:41:03",88200.0,192.8219
"2021-03-17 12:11:03",90000.0,210.9691
"2021-03-17 12:41:03",91800.0,210.9691
"2021-03-17 13:11:03",93600.0,201.6915
"2021-03-17 13:41:03",95400.0,210.9691
"2021-03-17 14:11:03",97200.0,220.6734
"2021-03-17 14:41:03",99000.0,220.6734
"2021-03-17 15:11:03",100800.0,210.9691
"2021-03-17 15:41:03",102600.0,201.6915
"2021-03-17 16:11:03",104400.0,210.9691
"2021-03-17 16:41:03",106200.0,220.6734
"2021-03-17 17:11:03",108000.0,220.6734
"2021-03-17 17:41:03",109800.0,220.6734
"2021-03-17 18:11:03",111600.0,192.8219
"2021-03-17 18:41:03",113400.0,201.6915
"2021-03-17 19:11:03",115200.0,4.6138
"2021-03-17 19:41:03",117000.0,4.6138
"2021-03-17 20:11:03",118800.0,4.6138
"2021-03-17 20:41:03",120600.0,4.6138
"2021-03-17 21:11:03",122400.0,4.6138
"2021-03-17 21:41:03",124200.0,4.6138
"2021-03-17 22:11:03",126000.0,4.6138
"2021-03-17 22:41:03",127800.0,4.6138
"2021-03-17 23:11:03",129600.0,4.6138
"2021-03-17 23:41:03",131400.0,4.6138
"2021-03-18 00:11:03",133200.0,4.6138
"2021-03-18 00:41:03",135000.0,4.4109
"2021-03-18 01:11:03",136800.0,4.6138
"2021-03-18 01:41:03",138600.0,4.6138
"2021-03-18 02:11:03",140400.0,4.6138
"2021-03-18 02:41:03",142200.0,4.6138
"2021-03-18 03:11:03",144000.0,201.6915
"2021-03-18 03:41:03",145800.0,192.8219
"2021-03-18 04:11:03",147600.0,220.6734
"2021-03-18 04:41:03",149400.0,210.9691
"2021-03-18 05:11:03",151200.0,220.6734
"2021-03-18 05:41:03",153000.0,192.8219
"2021-03-18 06:11:03",154800.0,201.6915
"2021-03-18 06:41:03",156600.0,192.8219
"2021-03-18 07:11:03",158400.0,201.6915
"2021-03-18 07:41:03",160200.0,210.9691
"2021-03-18 08:11:03",162000.0,192.8219
"2021-03-18 08:41:03",163800.0,220.6734
"2021-03-18 09:11:03",165600.0,192.8219
"2021-03-18 09:41:03",167400.0,220.6734
"2021-03-18 10:11:03",169200.0,220.6734
"2021-03-18 10:41:03",171000.0,230.8242
"2021-03-18 11:11:03",172800.0,201.6915
"2021-03-18 11:41:03",174600.0,220.6734
"2021-03-18 12:11:03",176400.0,210.9691
"2021-03-18 12:41:03",178200.0,192.8219
"2021-03-18 13:11:03",180000.0,192.8219
"2021-03-18 13:41:03",181800.0,220.6734
"2021-03-18 14:11:03",183600.0,220.6734
"2021-03-18 14:41:03",185400.0,230.8242
"2021-03-18 15:11:03",187200.0,201.6915
"2021-03-18 15:41:03",189000.0,210.9691
"2021-03-18 16:11:03",190800.0,192.8219
"2021-03-18 16:41:03",192600.0,192.8219
"2021-03-18 17:11:03",194400.0,220.6734
"2021-03-18 17:41:03",196200.0,192.8219
"2021-03-18 18:11:03",198000.0,210.9691
"2021-03-18 18:41:03",199800.0,201.6915
"2021-03-18 19:11:03",201600.0,4.6138
"2021-03-18 19:41:03",203400.0,4.6138
"2021-03-18 20:11:03",205200.0,4.8261
"2021-03-18 20:41:03",207000.0,4.6138
"2021-03-18 21:11:03",208800.0,4.8261
"2021-03-18 21:41:03",210600.0,4.8261
"2021-03-18 22:11:03",212400.0,4.6138
"2021-03-18 22:41:03",214200.0,4.6138
"2021-03-18 23:11:03",216000.0,4.6138
"2021-03-18 23:41:03",217800.0,4.6138
"2021-03-19 00:11:03",219600.0,4.6138
"2021-03-19 00:41:03",221400.0,4.8261
"2021-03-19 01:11:03",223200.0,4.6138
"2021-03-19 01:41:03",225000.0,4.6138
"2021-03-19 02:11:03",226800.0,4.6138
"2021-03-19 02:41:03",228600.0,4.6138
"2021-03-19 03:11:03",230400.0,230.8242
"2021-03-19 03:41:03",232200.0,210.9691
"2021-03-19 04:11:03",234000.0,210.9691
"2021-03-19 04:41:03",235800.0,210.9691
"2021-03-19 05:11:03",237600.0,220.6734
"2021-03-19 05:41:03",239400.0,220.6734
"2021-03-19 06:11:03",241200.0,220.6734
"2021-03-19 06:41:03",243000.0,210.9691
"2021-03-19 07:11:03",244800.0,210.9691
"2021-03-19 07:41:03",246600.0,220.6734
"2021-03-19 08:11:03",248400.0,220.6734
"2021-03-19 08:41:03",250200.0,220.6734
"2021-03-19 09:11:03",252000.0,220.6734
"2021-03-19 09:41:03",253800.0,210.9691
"2021-03-19 10:11:03",255600.0,201.6915
"2021-03-19 10:41:03",257400.0,210.9691
"2021-03-19 11:11:03",259200.0,230.8242
"2021-03-19 11:41:03",261000.0,220.6734
"2021-03-19 12:11:03",262800.0,192.8219
"2021-03-19 12:41:03",264600.0,230.8242
"2021-03-19 13:11:03",266400.0,201.6915
"2021-03-19 13:41:03",268200.0,210.9691
"2021-03-19 14:11:03",270000.0,210.9691
"2021-03-19 14:41:03",271800.0,220.6734
"2021-03-19 15:11:03",273600.0,210.9691
"2021-03-19 15:41:03",275400.0,220.6734
"2021-03-19 16:11:03",277200.0,201.6915
