"Date and Time","Time (seconds)","D66 (lx)"
"2021-03-01 18:36:07",0.0,679.2525
"2021-03-01 18:46:07",600.0,567.4221
"2021-03-01 18:56:07",1200.0,567.4221
"2021-03-01 19:06:07",1800.0,710.4974
"2021-03-01 19:16:07",2400.0,679.2525
"2021-03-01 19:26:07",3000.0,649.3816
"2021-03-01 19:36:07",3600.0,4.6138
"2021-03-01 19:46:07",4200.0,4.6138
"2021-03-01 19:56:07",4800.0,4.6138
"2021-03-01 20:06:07",5400.0,4.8261
"2021-03-01 20:16:07",6000.0,4.8261
"2021-03-01 20:26:07",6600.0,4.8261
"2021-03-01 20:36:07",7200.0,4.6138
"2021-03-01 20:46:07",7800.0,4.6138
"2021-03-01 20:56:07",8400.0,4.6138
"2021-03-01 21:06:07",9000.0,4.6138
"2021-03-01 21:16:07",9600.0,4.6138
"2021-03-01 21:26:07",10200.0,4.6138
"2021-03-01 21:36:07",10800.0,4.6138
"2021-03-01 21:46:07",11400.0,4.6138
"2021-03-01 21:56:07",12000.0,4.6138
"2021-03-01 22:06:07",12600.0,4.6138
"2021-03-01 22:16:07",13200.0,4.6138
"2021-03-01 22:26:07",13800.0,4.6138
"2021-03-01 22:36:07",14400.0,4.6138
"2021-03-01 22:46:07",15000.0,4.6138
"2021-03-01 22:56:07",15600.0,4.6138
"2021-03-01 23:06:07",16200.0,4.6138
"2021-03-01 23:16:07",16800.0,4.6138
"2021-03-01 23:26:07",17400.0,4.6138
"2021-03-01 23:36:07",18000.0,4.6138
"2021-03-01 23:46:07",18600.0,4.6138
"2021-03-01 23:56:07",19200.0,4.6138
"2021-03-02 00:06:07",19800.0,4.6138
"2021-03-02 00:16:07",20400.0,4.6138
"2021-03-02 00:26:07",21000.0,4.6138
"2021-03-02 00:36:07",21600.0,4.4109
"2021-03-02 00:46:07",22200.0,4.4109
"2021-03-02 00:56:07",22800.0,4.4109
"2021-03-02 01:06:07",23400.0,4.6138
"2021-03-02 01:16:07",24000.0,4.6138
"2021-03-02 01:26:07",24600.0,4.4109
"2021-03-02 01:36:07",25200.0,4.4109
"2021-03-02 01:46:07",25800.0,4.4109
"2021-03-02 01:56:07",26400.0,4.6138
"2021-03-02 02:06:07",27000.0,4.4109
"2021-03-02 02:16:07",27600.0,4.4109
"2021-03-02 02:26:07",28200.0,4.4109
"2021-03-02 02:36:07",28800.0,4.6138
"2021-03-02 02:46:07",29400.0,4.4109
"2021-03-02 02:56:07",30000.0,4.4109
"2021-03-02 03:06:07",30600.0,4.6138
"2021-03-02 03:16:07",31200.0,4.4109
"2021-03-02 03:26:07",31800.0,4.4109
"2021-03-02 03:36:07",32400.0,4.4109
"2021-03-02 03:46:07",33000.0,4.4109
"2021-03-02 03:56:07",33600.0,4.6138
"2021-03-02 04:06:07",34200.0,4.4109
"2021-03-02 04:16:07",34800.0,4.4109
"2021-03-02 04:26:07",35400.0,4.4109
"2021-03-02 04:36:07",36000.0,4.4109
"2021-03-02 04:46:07",36600.0,4.6138
"2021-03-02 04:56:07",37200.0,4.6138
"2021-03-02 05:06:07",37800.0,4.6138
"2021-03-02 05:16:07",38400.0,5.0481
"2021-03-02 05:26:07",39000.0,5.7772
"2021-03-02 05:36:07",39600.0,6.6117
"2021-03-02 05:46:07",40200.0,8.2788
"2021-03-02 05:56:07",40800.0,12.4094
"2021-03-02 06:06:07",41400.0,19.4564
"2021-03-02 06:16:07",42000.0,27.8813
"2021-03-02 06:26:07",42600.0,16.2531
"2021-03-02 06:36:07",43200.0,38.1972
"2021-03-02 06:46:07",43800.0,41.7921
"2021-03-02 06:56:07",44400.0,57.2549
"2021-03-02 07:06:07",45000.0,65.5249
"2021-03-02 07:16:07",45600.0,89.7687
"2021-03-02 07:26:07",46200.0,117.5743
"2021-03-02 07:36:07",46800.0,147.2207
"2021-03-02 07:46:07",47400.0,710.4974
"2021-03-02 07:56:07",48000.0,649.3816
"2021-03-02 08:06:07",48600.0,593.5229
"2021-03-02 08:16:07",49200.0,593.5229
"2021-03-02 08:26:07",49800.0,679.2525
"2021-03-02 08:36:07",50400.0,777.3650
"2021-03-02 08:46:07",51000.0,743.1795
"2021-03-02 08:56:07",51600.0,777.3650
"2021-03-02 09:06:07",52200.0,1064.9856
"2021-03-02 09:16:07",52800.0,850.5258
"2021-03-02 09:26:07",53400.0,850.5258
"2021-03-02 09:36:07",54000.0,889.6491
"2021-03-02 09:46:07",54600.0,889.6491
"2021-03-02 09:56:07",55200.0,679.2525
"2021-03-02 10:06:07",55800.0,620.8244
"2021-03-02 10:16:07",56400.0,813.1230
"2021-03-02 10:26:07",57000.0,649.3816
"2021-03-02 10:36:07",57600.0,813.1230
"2021-03-02 10:46:07",58200.0,777.3650
"2021-03-02 10:56:07",58800.0,710.4974
"2021-03-02 11:06:07",59400.0,930.5720
"2021-03-02 11:16:07",60000.0,813.1230
"2021-03-02 11:26:07",60600.0,850.5258
"2021-03-02 11:36:07",61200.0,777.3650
