"","X.1","X","ap_t","ap_ID","datetime","ID","unix","Period","State","num_Period","tod","DayNight","density","floordate","todfloor"
"1",18,283091,35.24,"22.00.31.25","2021-04-21 00:11:44","H230",1618963904,"LPw2","Euthermic",-4,0.195555555555556,"Night",0.00424967806875872,2021-04-21,0
"2",47,283092,36.49,"22.00.31.25","2021-04-21 00:26:43","H230",1618964803,"LPw2","Euthermic",-4,0.445277777777778,"Night",0.00723452959869919,2021-04-21,0
"3",76,283093,35.87,"22.00.31.25","2021-04-21 00:41:41","H230",1618965701,"LPw2","Euthermic",-4,0.694722222222222,"Night",0.00776476873671378,2021-04-21,1
"4",105,283094,35.78,"22.00.31.25","2021-04-21 00:56:41","H230",1618966601,"LPw2","Euthermic",-4,0.944722222222222,"Night",0.00832348103340914,2021-04-21,1
"5",134,283095,37.33,"22.00.31.25","2021-04-21 01:11:41","H230",1618967501,"LPw2","Euthermic",-4,1.19472222222222,"Night",0.00534917225183475,2021-04-21,1
"6",163,283096,37.77,"22.00.31.25","2021-04-21 01:26:41","H230",1618968401,"LPw2","Euthermic",-4,1.44472222222222,"Night",0.00137247152061275,2021-04-21,1
"7",192,283097,36.57,"22.00.31.25","2021-04-21 01:41:40","H230",1618969300,"LPw2","Euthermic",-4,1.69444444444444,"Night",0.00926413950588994,2021-04-21,2
"8",221,283098,37.6,"22.00.31.25","2021-04-21 01:56:40","H230",1618970200,"LPw2","Euthermic",-4,1.94444444444444,"Night",0.00282945562747978,2021-04-21,2
"9",250,283099,37.63,"22.00.31.25","2021-04-21 02:11:39","H230",1618971099,"LPw2","Euthermic",-4,2.19416666666667,"Night",0.00259187534504669,2021-04-21,2
"10",279,283100,37.48,"22.00.31.25","2021-04-21 02:26:38","H230",1618971998,"LPw2","Euthermic",-4,2.44388888888889,"Night",0.00382392786788708,2021-04-21,2
"11",308,283101,37.14,"22.00.31.25","2021-04-21 02:41:37","H230",1618972897,"LPw2","Euthermic",-4,2.69361111111111,"Night",0.00744197079827687,2021-04-21,3
"12",337,283102,36.85,"22.00.31.25","2021-04-21 02:56:37","H230",1618973797,"LPw2","Euthermic",-4,2.94361111111111,"Night",0.0094905364192027,2021-04-21,3
"13",366,283103,37.1,"22.00.31.25","2021-04-21 03:11:36","H230",1618974696,"LPw2","Euthermic",-4,3.19333333333333,"Night",0.00800739795659397,2021-04-21,3
"14",395,283104,35.87,"22.00.31.25","2021-04-21 03:26:37","H230",1618975597,"LPw2","Euthermic",-4,3.44361111111111,"Night",0.00821698422321497,2021-04-21,3
"15",424,283105,36.23,"22.00.31.25","2021-04-21 03:41:36","H230",1618976496,"LPw2","Euthermic",-4,3.69333333333333,"Night",0.00851172638033071,2021-04-21,4
"16",453,283106,35.34,"22.00.31.25","2021-04-21 03:56:36","H230",1618977396,"LPw2","Euthermic",-4,3.94333333333333,"Night",0.00724005911457055,2021-04-21,4
