"","ID","Period","State","DayNight","num_Period","floordate","todfloor","mean_BTind","median_BTind","std_BTind"
"1","H263","LPw2","Euthermic","Day",-4,2021-04-21,9,36.715,36.715,0.233345237791564
"2","H263","LPw2","Euthermic","Day",-4,2021-04-21,10,36.525,36.6,0.231588715902425
"3","H263","LPw2","Euthermic","Day",-4,2021-04-21,11,36.1275,36.165,0.597069231050021
"4","H263","LPw2","Euthermic","Day",-4,2021-04-21,12,35.5125,35.49,0.125532200384336
"5","H263","LPw2","Euthermic","Day",-4,2021-04-21,13,35.2175,35.265,0.211719153597401
"6","H263","LPw2","Euthermic","Day",-4,2021-04-21,14,35.92,35.91,0.778888096369861
"7","H263","LPw2","Euthermic","Day",-4,2021-04-21,15,36.285,36.405,0.366287682930598
"8","H263","LPw2","Euthermic","Day",-4,2021-04-21,16,36.5675,36.58,0.314046174948846
"9","H263","LPw2","Euthermic","Day",-4,2021-04-21,17,36.16,36.16,0.0282842712474613
"10","H263","LPw2","Euthermic","Day",-4,2021-04-22,9,36.57,36.57,0.282842712474623
"11","H263","LPw2","Euthermic","Day",-4,2021-04-22,10,36.6075,36.62,0.0997914491994843
"12","H263","LPw2","Euthermic","Day",-4,2021-04-22,11,35.65,35.64,0.786638417571887
"13","H263","LPw2","Euthermic","Day",-4,2021-04-22,12,35.295,34.96,0.83064232174063
"14","H263","LPw2","Euthermic","Day",-4,2021-04-22,13,36.23,36.555,0.917205902001652
"15","H263","LPw2","Euthermic","Day",-4,2021-04-22,14,35.9975,36.245,0.574245882295496
"16","H263","LPw2","Euthermic","Day",-4,2021-04-22,15,36.16,36.405,0.587593964116947
"17","H263","LPw2","Euthermic","Day",-4,2021-04-22,16,36.4825,36.485,0.0457347424467074
"18","H263","LPw2","Euthermic","Day",-4,2021-04-22,17,36.71,36.71,0.0424264068711945
"19","H263","LPw2","Euthermic","Day",-4,2021-04-23,9,35.145,35.145,0.106066017177981
"20","H263","LPw2","Euthermic","Day",-4,2021-04-23,10,36.385,36.375,0.110905365064095
"21","H263","LPw2","Euthermic","Day",-4,2021-04-23,11,36.3725,36.39,0.191376592090046
"22","H263","LPw2","Euthermic","Day",-4,2021-04-23,12,36.2425,36.255,0.0981070843517445
"23","H263","LPw2","Euthermic","Day",-4,2021-04-23,13,35.1325,35.13,0.196192932254622
"24","H263","LPw2","Euthermic","Day",-4,2021-04-23,14,35.9575,36.175,0.631948046387781
"25","H263","LPw2","Euthermic","Day",-4,2021-04-23,15,36.0825,36.17,0.711073132666395
"26","H263","LPw2","Euthermic","Day",-4,2021-04-23,16,36.6525,36.645,0.0718215380880523
"27","H263","LPw2","Euthermic","Day",-4,2021-04-23,17,36.65,36.65,0.339411254969546
"28","H263","LPw2","Euthermic","Day",-4,2021-04-24,9,36.68,36.68,0.197989898732234
"29","H263","LPw2","Euthermic","Day",-4,2021-04-24,10,36.95,37.055,0.241246761636295
"30","H263","LPw2","Euthermic","Day",-4,2021-04-24,11,35.705,36.485,1.72974950016855
"31","H263","LPw2","Euthermic","Day",-4,2021-04-24,12,36.42,36.44,0.155777619273971
"32","H263","LPw2","Euthermic","Day",-4,2021-04-24,13,36.0575,36.115,0.215
"33","H263","LPw2","Euthermic","Day",-4,2021-04-24,14,36.005,36.435,0.876755382076438
"34","H263","LPw2","Euthermic","Day",-4,2021-04-24,15,36.28,36.28,0.0637704215656984
"35","H263","LPw2","Euthermic","Day",-4,2021-04-24,16,35.3725,35.345,0.298370574956714
"36","H263","LPw2","Euthermic","Day",-4,2021-04-24,17,36.615,36.615,0.0353553390593254
"37","H263","LPw2","Euthermic","Day",-4,2021-04-25,9,35.135,35.135,0.0777817459305198
"38","H263","LPw2","Euthermic","Day",-4,2021-04-25,10,35.825,35.89,0.719652694012882
"39","H263","LPw2","Euthermic","Day",-4,2021-04-25,11,36.5175,36.5,0.161322658049014
"40","H263","LPw2","Euthermic","Day",-4,2021-04-25,12,36.405,36.345,0.184842275106825
"41","H263","LPw2","Euthermic","Day",-4,2021-04-25,13,36.45,36.445,0.250199920063934
"42","H263","LPw2","Euthermic","Day",-4,2021-04-25,14,35.875,36.16,0.857651833010732
"43","H263","LPw2","Euthermic","Day",-4,2021-04-25,15,36.5725,36.57,0.0793200268952744
"44","H263","LPw2","Euthermic","Day",-4,2021-04-25,16,36.425,36.38,0.17616280348965
"45","H263","LPw2","Euthermic","Day",-4,2021-04-25,17,36.18,36.18,0.791959594928936
"46","H263","LPw2","Euthermic","Day",-4,2021-04-26,9,35.115,35.115,0.0636396103067867
"47","H263","LPw2","Euthermic","Day",-4,2021-04-26,10,35.3125,35.02,1.00483414883585
"48","H263","LPw2","Euthermic","Day",-4,2021-04-26,11,35.785,35.795,0.698307477643862
"49","H263","LPw2","Euthermic","Day",-4,2021-04-26,12,36.3075,36.31,0.0670198975429425
"50","H263","LPw2","Euthermic","Day",-4,2021-04-26,13,35.6325,35.585,0.600243006345483
"51","H263","LPw2","Euthermic","Day",-4,2021-04-26,14,36.26,36.265,0.139761701954912
"52","H263","LPw2","Euthermic","Day",-4,2021-04-26,15,36.395,36.415,0.0967815409397214
"53","H263","LPw2","Euthermic","Day",-4,2021-04-26,16,36.105,36.115,0.127148207485071
"54","H263","LPw2","Euthermic","Day",-4,2021-04-26,17,36.085,36.085,0.219203102167831
"55","H263","LPw2","Euthermic","Day",-4,2021-04-27,9,36.425,36.425,0.233345237791564
"56","H263","LPw2","Euthermic","Day",-4,2021-04-27,10,36.31,36.7,1.48258782764012
"57","H263","LPw2","Euthermic","Day",-4,2021-04-27,11,36.975,36.95,0.264889914241118
"58","H263","LPw2","Euthermic","Day",-4,2021-04-27,12,36.46,36.44,0.0637704215656958
"59","H263","LPw2","Euthermic","Day",-4,2021-04-27,13,36.185,36.25,0.143874945699383
"60","H263","LPw2","Euthermic","Day",-4,2021-04-27,14,36.6325,36.645,0.185539753152795
"61","H263","LPw2","Euthermic","Day",-4,2021-04-27,15,36.1375,36.115,0.134752860204647
"62","H263","LPw2","Euthermic","Day",-4,2021-04-27,16,36.375,36.345,0.162583311976763
"63","H263","LPw2","Euthermic","Day",-4,2021-04-27,17,36.635,36.635,0.261629509039021
"64","H263","LPw2","Euthermic","Night",-4,2021-04-21,0,37.435,37.435,0.0212132034355972
"65","H263","LPw2","Euthermic","Night",-4,2021-04-21,1,36.97,37.255,0.730342385460407
"66","H263","LPw2","Euthermic","Night",-4,2021-04-21,2,36.53,36.56,1.27195387757051
"67","H263","LPw2","Euthermic","Night",-4,2021-04-21,3,36.1375,36.53,1.10813281394124
"68","H263","LPw2","Euthermic","Night",-4,2021-04-21,4,36.7475,37.22,1.04767599953421
"69","H263","LPw2","Euthermic","Night",-4,2021-04-21,5,35.4975,35.54,1.77738337638976
"70","H263","LPw2","Euthermic","Night",-4,2021-04-21,6,36.925,36.955,0.23330952259463
