"","ap_t","datetime"
"4798",35.27,2021-06-02 12:08:05
"4799",35.45,2021-06-02 12:23:07
"4800",35.08,2021-06-02 12:38:08
"4801",36.14,2021-06-02 12:53:04
"4802",36.54,2021-06-02 13:08:04
"4803",36.23,2021-06-02 13:23:04
"4804",35.95,2021-06-02 13:38:04
"4805",35.39,2021-06-02 13:53:04
"4806",35.69,2021-06-02 14:08:05
"4807",35.68,2021-06-02 14:23:05
"4808",36.13,2021-06-02 14:38:06
"4809",35.77,2021-06-02 14:53:06
"4810",35.62,2021-06-02 15:08:07
"4811",35.67,2021-06-02 15:23:08
"4812",35.66,2021-06-02 15:38:09
"4813",35.59,2021-06-02 15:53:09
"4814",35.41,2021-06-02 16:08:10
"4815",35.74,2021-06-02 16:23:11
"4816",35.93,2021-06-02 16:38:11
"4817",35.53,2021-06-02 16:53:11
"4818",35.03,2021-06-02 17:08:12
"4819",35.56,2021-06-02 17:23:09
"4820",36.32,2021-06-02 17:38:09
"4821",36.13,2021-06-02 17:53:10
"4822",35.57,2021-06-02 18:08:10
"4823",35.63,2021-06-02 18:23:11
"4824",35.4,2021-06-02 18:38:11
"4825",35.95,2021-06-02 18:53:11
"4826",35.9,2021-06-02 19:08:11
"4827",35.48,2021-06-02 19:23:12
"4828",36.03,2021-06-02 19:38:12
"4829",35.67,2021-06-02 19:53:12
"4830",35.92,2021-06-02 20:08:12
"4831",36.75,2021-06-02 20:23:12
"4832",36.67,2021-06-02 20:38:12
"4833",36.75,2021-06-02 20:53:12
"4834",37.07,2021-06-02 21:08:12
"4835",36.76,2021-06-02 21:23:12
"4836",36.09,2021-06-02 21:38:11
"4837",36.88,2021-06-02 21:53:11
"4838",36.09,2021-06-02 22:08:11
"4839",36.43,2021-06-02 22:23:11
"4840",36.23,2021-06-02 22:38:10
"4841",36,2021-06-02 22:53:10
"4842",36.06,2021-06-02 23:08:10
"4843",35.35,2021-06-02 23:23:10
"4844",35.9,2021-06-02 23:38:10
"4845",35.85,2021-06-02 23:53:10
"4846",36.23,2021-06-03 00:08:10
"4847",36.12,2021-06-03 00:23:10
"4848",35.87,2021-06-03 00:38:10
"4849",36.03,2021-06-03 00:53:10
"4850",36.28,2021-06-03 01:08:10
"4851",36.49,2021-06-03 01:23:10
"4852",36.19,2021-06-03 01:38:10
"4853",35.57,2021-06-03 01:53:10
"4854",36.08,2021-06-03 02:08:10
"4855",36.67,2021-06-03 02:23:09
"4856",36.24,2021-06-03 02:38:09
"4857",35.75,2021-06-03 02:53:09
"4858",36.31,2021-06-03 03:08:09
"4859",35.79,2021-06-03 03:23:08
"4860",35.83,2021-06-03 03:38:08
"4861",35.71,2021-06-03 03:53:08
"4862",35.24,2021-06-03 04:08:08
"4863",35.53,2021-06-03 04:23:07
"4864",36.24,2021-06-03 04:38:07
"4865",36.25,2021-06-03 04:53:07
"4866",35.96,2021-06-03 05:08:07
"4867",35.82,2021-06-03 05:23:06
"4868",35.68,2021-06-03 05:38:06
"4869",35.57,2021-06-03 05:53:06
"4870",36.09,2021-06-03 06:08:06
"4871",36.14,2021-06-03 06:23:05
"4872",37.25,2021-06-03 06:38:05
"4873",36.99,2021-06-03 06:53:05
"4874",36.4,2021-06-03 07:08:05
"4875",36.15,2021-06-03 07:23:04
"4876",35.95,2021-06-03 07:38:04
"4877",35.71,2021-06-03 07:53:04
"4878",35.41,2021-06-03 08:08:04
"4879",35.67,2021-06-03 08:23:03
"4880",35.31,2021-06-03 08:38:03
"4881",34.94,2021-06-03 08:53:03
"4882",34.69,2021-06-03 09:08:03
"4883",34.32,2021-06-03 09:23:02
"4884",34.53,2021-06-03 09:38:02
"4885",34.62,2021-06-03 09:53:02
"4886",34.93,2021-06-03 10:08:02
"4887",34.9,2021-06-03 10:23:01
"4888",34.54,2021-06-03 10:38:01
"4889",34.77,2021-06-03 10:53:01
"4890",35.69,2021-06-03 11:08:01
"4891",35.82,2021-06-03 11:23:00
"4892",35.93,2021-06-03 11:38:00
"4893",35.45,2021-06-03 11:53:00
"4894",35.43,2021-06-03 12:08:00
"4895",35.23,2021-06-03 12:22:59
"4896",35.52,2021-06-03 12:37:59
"4897",35.2,2021-06-03 12:52:59
"4898",35.49,2021-06-03 13:07:59
"4899",34.77,2021-06-03 13:22:58
"4900",34.62,2021-06-03 13:37:58
"4901",34.49,2021-06-03 13:52:58
"4902",35.05,2021-06-03 14:07:58
"4903",35.27,2021-06-03 14:22:57
"4904",35.64,2021-06-03 14:37:57
"4905",35.57,2021-06-03 14:52:57
"4906",35.1,2021-06-03 15:07:57
"4907",35.64,2021-06-03 15:22:56
"4908",35.4,2021-06-03 15:37:56
"4909",35.23,2021-06-03 15:52:56
"4910",34.85,2021-06-03 16:07:56
"4911",35.04,2021-06-03 16:22:55
"4912",35.19,2021-06-03 16:37:55
"4913",34.82,2021-06-03 16:52:55
"4914",34.86,2021-06-03 17:07:55
"4915",36.29,2021-06-03 17:22:54
"4916",35.43,2021-06-03 17:37:54
"4917",35.81,2021-06-03 17:52:54
"4918",35.35,2021-06-03 18:07:54
"4919",35.07,2021-06-03 18:22:53
"4920",36.02,2021-06-03 18:37:53
"4921",36.09,2021-06-03 18:52:53
"4922",36.03,2021-06-03 19:07:53
"4923",35.43,2021-06-03 19:22:54
"4924",35.68,2021-06-03 19:37:54
"4925",35.77,2021-06-03 19:52:54
"4926",36.24,2021-06-03 20:07:54
"4927",36.26,2021-06-03 20:22:53
"4928",36,2021-06-03 20:37:53
"4929",36.45,2021-06-03 20:52:52
"4930",36.01,2021-06-03 21:07:52
"4931",36.97,2021-06-03 21:22:52
"4932",36.03,2021-06-03 21:37:52
