"","Period","ID","ap_t","unix","apn"
"1","LP","H298",34.97,1618964042,0.669772256728779
"2","LP","H298",35.55,1618964947,0.729813664596273
"3","LP","H298",36.87,1618965843,0.866459627329193
"4","LP","H298",36.73,1618966740,0.851966873706004
"5","LP","H298",36.64,1618967637,0.842650103519669
"6","LP","H298",37.01,1618968534,0.880952380952381
"7","LP","H298",35.44,1618969431,0.718426501035197
"8","LP","H298",36.99,1618970328,0.87888198757764
"9","LP","H298",37.59,1618971224,0.940993788819876
"10","LP","H298",35.66,1618972125,0.74120082815735
"11","LP","H298",35.97,1618973022,0.773291925465839
"12","LP","H298",34.81,1618973920,0.653209109730849
"13","LP","H298",34.48,1618974826,0.619047619047619
"14","LP","H298",34.49,1618975732,0.62008281573499
"15","LP","H298",37.41,1618976636,0.922360248447205
"16","LP","H298",37.23,1618977536,0.903726708074534
"17","LP","H298",37.19,1618978436,0.899585921325052
"18","LP","H298",36.07,1618979333,0.783643892339545
"19","LP","H298",36.74,1618980230,0.853002070393375
"20","LP","H298",36.49,1618981127,0.82712215320911
"21","LP","H298",35.34,1618982024,0.708074534161491
"22","LP","H298",36.18,1618982923,0.795031055900621
"23","LP","H298",36.39,1618983820,0.816770186335404
"24","LP","H298",36.37,1618984718,0.814699792960663
"25","LP","H298",36.03,1618985616,0.779503105590063
"26","LP","H298",35.42,1618986514,0.716356107660456
"27","LP","H298",35.37,1618987419,0.711180124223602
"28","LP","H298",35.33,1618988324,0.70703933747412
"29","LP","H298",35.95,1618989228,0.771221532091098
"30","LP","H298",36.56,1618990126,0.834368530020704
"31","LP","H298",36.44,1618991023,0.821946169772257
"32","LP","H298",36.15,1618991920,0.791925465838509
"33","LP","H298",34.9,1618992818,0.662525879917184
"34","LP","H298",34.23,1618993724,0.593167701863354
"35","LP","H298",34.12,1618994630,0.581780538302277
"36","LP","H298",34.49,1618995536,0.62008281573499
"37","LP","H298",35.64,1618996441,0.739130434782609
"38","LP","H298",35.66,1618997340,0.74120082815735
"39","LP","H298",35.68,1618998238,0.743271221532091
"40","LP","H298",35.95,1618999137,0.771221532091098
"41","LP","H298",36.13,1619000035,0.789855072463769
"42","LP","H298",36.24,1619000932,0.801242236024845
"43","LP","H298",35.26,1619001830,0.699792960662526
"44","LP","H298",36.01,1619002734,0.777432712215321
"45","LP","H298",36.71,1619003631,0.849896480331263
"46","LP","H298",36.39,1619004528,0.816770186335404
"47","LP","H298",37.44,1619005425,0.925465838509317
"48","LP","H298",37.22,1619006325,0.902691511387164
"49","LP","H298",36.82,1619007222,0.86128364389234
"50","LP","H298",36.69,1619008119,0.847826086956522
"51","LP","H298",36.41,1619009016,0.818840579710145
"52","LP","H298",36.25,1619009913,0.802277432712216
"53","LP","H298",36.28,1619010811,0.805383022774327
"54","LP","H298",34.98,1619011713,0.670807453416149
"55","LP","H298",35.37,1619012615,0.711180124223602
"56","LP","H298",35.15,1619013517,0.688405797101449
"57","LP","H298",36.62,1619014419,0.840579710144928
"58","LP","H298",35.66,1619015321,0.74120082815735
"59","LP","H298",35.38,1619016220,0.712215320910974
"60","LP","H298",36.22,1619017118,0.799171842650104
"61","LP","H298",36.36,1619018016,0.813664596273292
"62","LP","H298",36.36,1619018913,0.813664596273292
"63","LP","H298",36.51,1619019810,0.829192546583851
"64","LP","H298",36.42,1619020708,0.819875776397516
"65","LP","H298",36.21,1619021605,0.798136645962733
"66","LP","H298",35.43,1619022503,0.717391304347826
"67","LP","H298",36.56,1619023401,0.834368530020704
"68","LP","H298",36.41,1619024298,0.818840579710145
"69","LP","H298",36.02,1619025195,0.778467908902692
"70","LP","H298",36.31,1619026093,0.808488612836439
"71","LP","H298",36.71,1619026990,0.849896480331263
"72","LP","H298",36.6,1619027887,0.838509316770187
"73","LP","H298",36.55,1619028784,0.833333333333333
"74","LP","H298",36.74,1619029681,0.853002070393375
"75","LP","H298",36.69,1619030577,0.847826086956522
"76","LP","H298",36.6,1619031475,0.838509316770187
"77","LP","H298",35.63,1619032372,0.738095238095239
"78","LP","H298",34.8,1619033270,0.652173913043478
"79","LP","H298",36.14,1619034174,0.790890269151139
"80","LP","H298",35.54,1619035072,0.728778467908903
"81","LP","H298",36.62,1619035976,0.840579710144928
"82","LP","H298",34.84,1619036874,0.656314699792961
"83","LP","H298",34.69,1619037779,0.640786749482402
"84","LP","H298",34.95,1619038684,0.667701863354038
"85","LP","H298",37.54,1619039588,0.935817805383023
"86","LP","H298",37.6,1619040488,0.942028985507247
"87","LP","H298",35.58,1619041389,0.732919254658385
"88","LP","H298",36.51,1619042286,0.829192546583851
"89","LP","H298",37.48,1619043183,0.929606625258799
"90","LP","H298",36.71,1619044085,0.849896480331263
"91","LP","H298",36.28,1619044982,0.805383022774327
"92","LP","H298",36.69,1619045878,0.847826086956522
"93","LP","H298",37.01,1619046775,0.880952380952381
"94","LP","H298",37.49,1619047676,0.93064182194617
"95","LP","H298",36.67,1619048573,0.845755693581781
"96","LP","H298",36.24,1619049471,0.801242236024845
"97","LP","H298",36.97,1619050368,0.876811594202899
"98","LP","H298",37.05,1619051265,0.885093167701863
"99","LP","H298",37.19,1619052162,0.899585921325052
"100","LP","H298",36.83,1619053058,0.86231884057971
"101","LP","H298",36.6,1619053955,0.838509316770187
"102","LP","H298",35.99,1619054854,0.77536231884058
"103","LP","H298",35.38,1619055752,0.712215320910974
"104","LP","H298",34.76,1619056650,0.648033126293996
"105","LP","H298",35.99,1619057556,0.77536231884058
"106","LP","H298",35.92,1619058454,0.768115942028986
"107","LP","H298",35.5,1619059351,0.724637681159421
"108","LP","H298",36.31,1619060249,0.808488612836439
"109","LP","H298",36.03,1619061146,0.779503105590063
"110","LP","H298",37.37,1619062043,0.918219461697723
"111","LP","H298",37.03,1619062943,0.883022774327123
"112","LP","H298",35.42,1619063841,0.716356107660456
"113","LP","H298",35.63,1619064739,0.738095238095239
"114","LP","H298",37.31,1619065637,0.9120082815735
"115","LP","H298",37.57,1619066534,0.938923395445135
"116","LP","H298",37.16,1619067430,0.89648033126294
"117","LP","H298",36.77,1619068327,0.856107660455487
"118","LP","H298",36.52,1619069224,0.830227743271222
"119","LP","H298",36.43,1619070122,0.820910973084886
"120","LP","H298",35.75,1619071019,0.750517598343686
"121","LP","H298",36.3,1619071917,0.807453416149068
"122","LP","H298",35.48,1619072815,0.722567287784679
"123","LP","H298",35.52,1619073713,0.726708074534162
"124","LP","H298",34.97,1619074612,0.669772256728779
"125","LP","H298",34.66,1619075517,0.63768115942029
"126","LP","H298",36.43,1619076422,0.820910973084886
"127","LP","H298",35.03,1619077320,0.675983436853002
"128","LP","H298",36.67,1619078221,0.845755693581781
"129","LP","H298",36.71,1619079121,0.849896480331263
"130","LP","H298",36.64,1619080019,0.842650103519669
"131","LP","H298",36.59,1619080916,0.837474120082816
