Column1,Period,ID,ap_t,unix
1,LP,H298,34.97,1618964042
2,LP,H298,35.55,1618964947
3,LP,H298,36.87,1618965843
4,LP,H298,36.73,1618966740
5,LP,H298,36.64,1618967637
6,LP,H298,37.01,1618968534
7,LP,H298,35.44,1618969431
8,LP,H298,36.99,1618970328
9,LP,H298,37.59,1618971224
10,LP,H298,35.66,1618972125
11,LP,H298,35.97,1618973022
12,LP,H298,34.81,1618973920
13,LP,H298,34.48,1618974826
14,LP,H298,34.49,1618975732
15,LP,H298,37.41,1618976636
16,LP,H298,37.23,1618977536
17,LP,H298,37.19,1618978436
18,LP,H298,36.07,1618979333
19,LP,H298,36.74,1618980230
20,LP,H298,36.49,1618981127
21,LP,H298,35.34,1618982024
22,LP,H298,36.18,1618982923
23,LP,H298,36.39,1618983820
24,LP,H298,36.37,1618984718
25,LP,H298,36.03,1618985616
26,LP,H298,35.42,1618986514
27,LP,H298,35.37,1618987419
28,LP,H298,35.33,1618988324
29,LP,H298,35.95,1618989228
30,LP,H298,36.56,1618990126
31,LP,H298,36.44,1618991023
32,LP,H298,36.15,1618991920
33,LP,H298,34.9,1618992818
34,LP,H298,34.23,1618993724
35,LP,H298,34.12,1618994630
36,LP,H298,34.49,1618995536
37,LP,H298,35.64,1618996441
38,LP,H298,35.66,1618997340
39,LP,H298,35.68,1618998238
40,LP,H298,35.95,1618999137
41,LP,H298,36.13,1619000035
42,LP,H298,36.24,1619000932
43,LP,H298,35.26,1619001830
44,LP,H298,36.01,1619002734
45,LP,H298,36.71,1619003631
46,LP,H298,36.39,1619004528
47,LP,H298,37.44,1619005425
48,LP,H298,37.22,1619006325
49,LP,H298,36.82,1619007222
50,LP,H298,36.69,1619008119
51,LP,H298,36.41,1619009016
52,LP,H298,36.25,1619009913
53,LP,H298,36.28,1619010811
54,LP,H298,34.98,1619011713
55,LP,H298,35.37,1619012615
56,LP,H298,35.15,1619013517
57,LP,H298,36.62,1619014419
58,LP,H298,35.66,1619015321
59,LP,H298,35.38,1619016220
60,LP,H298,36.22,1619017118
61,LP,H298,36.36,1619018016
62,LP,H298,36.36,1619018913
63,LP,H298,36.51,1619019810
64,LP,H298,36.42,1619020708
65,LP,H298,36.21,1619021605
66,LP,H298,35.43,1619022503
67,LP,H298,36.56,1619023401
68,LP,H298,36.41,1619024298
69,LP,H298,36.02,1619025195
70,LP,H298,36.31,1619026093
71,LP,H298,36.71,1619026990
72,LP,H298,36.6,1619027887
73,LP,H298,36.55,1619028784
74,LP,H298,36.74,1619029681
75,LP,H298,36.69,1619030577
76,LP,H298,36.6,1619031475
77,LP,H298,35.63,1619032372
78,LP,H298,34.8,1619033270
79,LP,H298,36.14,1619034174
80,LP,H298,35.54,1619035072
81,LP,H298,36.62,1619035976
82,LP,H298,34.84,1619036874
83,LP,H298,34.69,1619037779
84,LP,H298,34.95,1619038684
85,LP,H298,37.54,1619039588
86,LP,H298,37.6,1619040488
87,LP,H298,35.58,1619041389
88,LP,H298,36.51,1619042286
89,LP,H298,37.48,1619043183
90,LP,H298,36.71,1619044085
91,LP,H298,36.28,1619044982
92,LP,H298,36.69,1619045878
93,LP,H298,37.01,1619046775
94,LP,H298,37.49,1619047676
95,LP,H298,36.67,1619048573
96,LP,H298,36.24,1619049471
97,LP,H298,36.97,1619050368
98,LP,H298,37.05,1619051265
99,LP,H298,37.19,1619052162
100,LP,H298,36.83,1619053058
101,LP,H298,36.6,1619053955
102,LP,H298,35.99,1619054854
103,LP,H298,35.38,1619055752
104,LP,H298,34.76,1619056650
105,LP,H298,35.99,1619057556
106,LP,H298,35.92,1619058454
107,LP,H298,35.5,1619059351
108,LP,H298,36.31,1619060249
109,LP,H298,36.03,1619061146
110,LP,H298,37.37,1619062043
111,LP,H298,37.03,1619062943
112,LP,H298,35.42,1619063841
113,LP,H298,35.63,1619064739
114,LP,H298,37.31,1619065637
115,LP,H298,37.57,1619066534
116,LP,H298,37.16,1619067430
117,LP,H298,36.77,1619068327
118,LP,H298,36.52,1619069224
119,LP,H298,36.43,1619070122
120,LP,H298,35.75,1619071019
121,LP,H298,36.3,1619071917
122,LP,H298,35.48,1619072815
123,LP,H298,35.52,1619073713
124,LP,H298,34.97,1619074612
125,LP,H298,34.66,1619075517
126,LP,H298,36.43,1619076422
127,LP,H298,35.03,1619077320
128,LP,H298,36.67,1619078221
129,LP,H298,36.71,1619079121
130,LP,H298,36.64,1619080019
131,LP,H298,36.59,1619080916
132,LP,H298,36.57,1619081814
133,LP,H298,36.45,1619082711
134,LP,H298,36.34,1619083608
135,LP,H298,36.77,1619084506
136,LP,H298,36.59,1619085403
137,LP,H298,36.15,1619086300
138,LP,H298,35.21,1619087198
139,LP,H298,36.49,1619088096
140,LP,H298,36.53,1619088993
141,LP,H298,36.25,1619089891
142,LP,H298,35.36,1619090789
143,LP,H298,36.8,1619091686
144,LP,H298,36.54,1619092583
145,LP,H298,36.26,1619093481
146,LP,H298,35.11,1619094378
147,LP,H298,36.15,1619095280
148,LP,H298,36.11,1619096181
149,LP,H298,35.8,1619097079
150,LP,H298,35.28,1619097977
151,LP,H298,34.88,1619098882
152,LP,H298,36.6,1619099780
153,LP,H298,35.6,1619100677
154,LP,H298,35.55,1619101575
155,LP,H298,35.49,1619102474
156,LP,H298,35.45,1619103376
157,LP,H298,34.55,1619104277
158,LP,H298,35.37,1619105183
159,LP,H298,36.15,1619106081
160,LP,H298,36.03,1619106978
161,LP,H298,35.84,1619107876
162,LP,H298,36.48,1619108774
163,LP,H298,35.49,1619109672
164,LP,H298,36.23,1619110577
165,LP,H298,36.76,1619111474
166,LP,H298,36.66,1619112371
167,LP,H298,35.56,1619113269
168,LP,H298,36.39,1619114166
169,LP,H298,36.07,1619115064
170,LP,H298,36.42,1619115962
171,LP,H298,36.31,1619116860
172,LP,H298,36.08,1619117757
173,LP,H298,35.52,1619118655
174,LP,H298,36.85,1619119553
175,LP,H298,36.88,1619120449
176,LP,H298,36.24,1619121347
177,LP,H298,35.15,1619122249
178,LP,H298,34.98,1619123150
179,LP,H298,35.15,1619124055
180,LP,H298,35.64,1619124960
181,LP,H298,36.06,1619125858
182,LP,H298,36.25,1619126756
183,LP,H298,37.01,1619127653
184,LP,H298,36.44,1619128551
185,LP,H298,36.47,1619129448
186,LP,H298,36.33,1619130346
187,LP,H298,37.14,1619131243
188,LP,H298,37.26,1619132141
189,LP,H298,36.71,1619133038
190,LP,H298,36.62,1619133935
191,LP,H298,37.49,1619134832
192,LP,H298,37.32,1619135733
193,LP,H298,35.24,1619136634
194,LP,H298,36.99,1619137538
195,LP,H298,35.19,1619138436
196,LP,H298,35.79,1619139333
197,LP,H298,37.16,1619140231
198,LP,H298,35.44,1619141128
199,LP,H298,37.63,1619142026
200,LP,H298,37.72,1619142925
201,LP,H298,36.63,1619143824
202,LP,H298,36.88,1619144723
203,LP,H298,37.11,1619145620
204,LP,H298,36.95,1619146517
205,LP,H298,37,1619147414
206,LP,H298,36.46,1619148311
207,LP,H298,37.44,1619149208
208,LP,H298,37.36,1619150109
209,LP,H298,37.37,1619151005
210,LP,H298,37.12,1619151901
211,LP,H298,36.81,1619152799
212,LP,H298,36.54,1619153696
213,LP,H298,35.27,1619154594
214,LP,H298,34.8,1619155493
215,LP,H298,35.97,1619156398
216,LP,H298,36.84,1619157295
217,LP,H298,36.85,1619158192
218,LP,H298,36.54,1619159089
219,LP,H298,36.33,1619159986
220,LP,H298,36.84,1619160884
221,LP,H298,36.56,1619161781
222,LP,H298,36.22,1619162679
223,LP,H298,36.42,1619163576
224,LP,H298,36.38,1619164474
225,LP,H298,36.36,1619165372
226,LP,H298,36.34,1619166269
227,LP,H298,36.64,1619167167
228,LP,H298,35.44,1619168064
229,LP,H298,35.64,1619168966
230,LP,H298,35.51,1619169868
231,LP,H298,36.26,1619170766
232,LP,H298,36.08,1619171664
233,LP,H298,36.38,1619172562
234,LP,H298,36.69,1619173460
235,LP,H298,36.48,1619174357
236,LP,H298,35.28,1619175256
237,LP,H298,34.86,1619176153
238,LP,H298,34.24,1619177059
239,LP,H298,34.27,1619177958
240,LP,H298,36.16,1619178863
241,LP,H298,35.85,1619179761
242,LP,H298,36.45,1619180659
243,LP,H298,35.81,1619181557
244,LP,H298,35.49,1619182455
245,LP,H298,35.38,1619183353
246,LP,H298,35.52,1619184252
247,LP,H298,36.36,1619185150
248,LP,H298,35.49,1619186048
249,LP,H298,36.56,1619186946
250,LP,H298,35.29,1619187843
251,LP,H298,35.99,1619188748
252,LP,H298,36.66,1619189647
253,LP,H298,36.38,1619190544
254,LP,H298,36.51,1619191442
255,LP,H298,36.42,1619192339
256,LP,H298,35.39,1619193237
257,LP,H298,35.73,1619194142
258,LP,H298,35.31,1619195044
259,LP,H298,35.49,1619195946
260,LP,H298,35.57,1619196851
261,LP,H298,35.43,1619197757
262,LP,H298,34.75,1619198654
263,LP,H298,35.3,1619199560
264,LP,H298,34.54,1619200457
265,LP,H298,34.25,1619201362
266,LP,H298,34.17,1619202267
267,LP,H298,33.49,1619203171
268,LP,H298,33.57,1619204074
269,LP,H298,33.38,1619204978
270,LP,H298,33.59,1619205881
271,LP,H298,34.1,1619206784
