

Food, Score, Accordance, Consensus, Certainty
Leafy greens, 10 , 95 , Very High , 0.95
Cruciferous vegetables, 10 , 95 , Very High , 0.95
Fatty fish, 9 , 90 , High , 0.90
Lean protein, 9 , 90 , High , 0.90
Berries, 8 , 85 , High , 0.85
Nuts and seeds, 8 , 85 , High , 0.85
Avocado, 8 , 85 , High , 0.85
Olive oil, 8 , 85 , High , 0.85
Whole grains, 7 , 80 , High , 0.80
Greek yogurt, 7 , 80 , High , 0.80
Legumes, 7 , 80 , High , 0.80
Fermented foods, 7 , 80 , High , 0.80
Sweet potatoes, 7 , 80 , High , 0.80
Green tea, 6 , 75 , High , 0.75
Dark chocolate, 6 , 75 , High , 0.75
Tomatoes, 6 , 75 , High , 0.75
Citrus fruits, 6 , 75 , High , 0.75
Oats, 6 , 75 , High , 0.75
Bell peppers, 6 , 75 , High , 0.75
Edamame, 6 , 75 , High , 0.75
Chia seeds, 5 , 70 , Medium , 0.70
Apples, 5 , 70 , High , 0.70
Beets, 5 , 70 , High , 0.70
Cauliflower, 5 , 70 , High , 0.70
Ginger, 5 , 70 , High , 0.70
Almond milk, 4 , 65 , Medium , 0.65
Cottage cheese, 4 , 65 , Medium , 0.65
Pumpkin seeds, 4 , 65 , Medium , 0.65
Watermelon, 4 , 65 , Medium , 0.65
Green beans, 4 , 65 , High , 0.65
Quinoa, 7 , 80 , Medium , 0.70
Bananas, 5 , 70 , Medium , 0.70
Barley, 6 , 75 , Medium , 0.70
Walnuts, 8 , 85 , Medium , 0.70
Seaweed ,6 , 75 , Medium , 0.70
Cacao nibs, 6 , 75 , Medium , 0.70
Chickpeas ,7 , 80 , Medium , 0.70
Pineapple, 5 , 70 , Medium , 0.70
Raspberries, 8 , 85 , Medium , 0.70
Squash, 5 , 70 , Medium , 0.70
Mushrooms, 6 , 75 , Medium , 0.70
Kale, 10 , 95 , Medium , 0.70
Broccoli, 10 , 95 , Medium , 0.70
Spinach, 10 , 95 , Medium , 0.70
Salmon, 9 , 90 , Medium , 0.70
Flaxseeds, 8 , 85 , Medium , 0.70
Tofu, 7 , 80 , Medium , 0.70
Brown rice, 7 , 80 , Medium , 0.70
Whole grain bread, 7 , 80 , Medium , 0.70
Lentils, 7 , 80 , Medium , 0.70
Tempeh, 7 , 80 , Medium , 0.70
Cantaloupe, 5 , 70 , Medium , 0.70
Kiwi, 5 , 70 , Medium , 0.70
Blueberries, 8 , 85 , Medium , 0.70
Trans fats ,10 , 95 , Very High , 0.95
Sugary beverages ,10 , 95 , Very High , 0.95
Processed meats ,7 , 80 , High , 0.80
Highly processed snacks ,7 , 80 , High , 0.80
Energy drinks ,7 , 80 , High , 0.80
Refined carbohydrates ,6 , 75 , High , 0.75
Alcohol ,6 , 75 , High , 0.75
Sugary breakfast cereals ,6 , 75 , High , 0.75
High sodium foods ,5 , 70 , High , 0.70
White pasta ,5 , 70 , High , 0.70
Artificial sweeteners ,4 , 65 , Medium , 0.65
Store bought salad dressings ,4 , 65 , Medium , 0.65
Pre-packaged frozen meals ,4 , 65 , Medium , 0.65
Processed cheese ,4 , 65 , Medium , 0.65
Microwave popcorn ,3 , 60 , Medium , 0.60
White bread ,3 , 60 , High , 0.60
Canned fruit in syrup ,3 , 60 , High , 0.60
Margarine ,3 , 60 , High , 0.60
Instant noodles ,3 , 60, High , 0.60
Cakes and pastries ,6 , 75 , High , 0.75
Cookies and candies ,6 , 75 , High , 0.75
Ice cream ,5 , 70 , Medium , 0.70
Fast food ,7 , 80 , High , 0.80
Soda ,10 , 95 , High , 0.75
Fried foods ,6 , 75 , High , 0.75
White rice ,4 , 65 , Medium , 0.65
Deli meats ,4 , 65 , Medium , 0.65
Potato chips ,5 , 70 , Medium , 0.70
Canned vegetables ,2 , 60 , Medium , 0.60
Coconut oil ,1 , 50 , Low , 0.50
Red meat ,1 , 50 , Medium , 0.60
Soy products, 4 , 65 , Low , 0.50
Eggs, 4 , 65 , Medium , 0.60
Kombucha, 5 , 70 , Low , 0.50
Protein bars, 5 , 70 , Medium , 0.60
Brown rice syrup, 3 , 65 , Low , 0.50
Dairy milk, 3 , 65 , Medium , 0.60
Gluten containing foods, 2 , 60 , Low , 0.50
Açai berries, 6 , 75 , Low , 0.50
Agave nectar, 1 , 55 , Medium , 0.60
Bone broth, 4 , 65 , Low , 0.50
Lectin containing foods, 2 , 60 , Very Low , 0.40
