LP,SP8w1,sp8w9
35.35,37.04,34.64
36.25,35.64,34.56
35.86,36.17,34.86
37.42,36.31,34.67
36.32,35.8,34.46
35.71,35.52,35.63
36.97,35.28,35.95
36.91,35.51,36.26
36.71,35.44,35.82
37.18,35.77,35.57
36.89,35.66,35.24
35.72,36.32,35.28
36.54,36.58,35.09
37.26,36.59,35.97
35.19,36.54,36.14
35.74,36.72,35.82
36.08,36.56,35.45
36.11,36.61,35.39
35.29,36.51,35.24
35.72,35.88,34.92
36.62,35.28,34.85
34.79,35.34,34.64
35.9,35.86,35.55
35.53,35.48,35.41
35.35,36.26,35.68
35.06,35.9,35.39
34.82,36.34,35.11
35.19,36.4,35.41
35.04,36.21,35.63
35,36.23,35.44
34.99,35.43,35.19
34.67,35.11,34.91
34.33,34.71,35.43
35.68,34.75,35.83
34.85,34.35,35.74
34.97,34.4,35.4
34.52,34.16,35.24
34.23,33.86,35.89
34.27,34.34,36.16
34.24,35.22,36.53
34.98,34.8,36.07
35.42,34.68,35.96
35.44,34.53,35.6
34.88,34.73,35.36
34.52,35.74,36.09
34.64,35.44,36.14
36.31,34.98,36.19
36.34,35.05,36.03
36.67,34.8,36.15
35.35,37.04,34.64
36.25,35.64,34.56
35.86,36.17,34.86
37.42,36.31,34.67
36.32,35.8,34.46
35.71,35.52,35.63
36.97,35.28,35.95
36.91,35.51,36.26
36.71,35.44,35.82
37.18,35.77,35.57
36.89,35.66,35.24
35.72,36.32,35.28
36.54,36.58,35.09
37.26,36.59,35.97
35.19,36.54,36.14
35.74,36.72,35.82
36.08,36.56,35.45
36.11,36.61,35.39
35.29,36.51,35.24
35.72,35.88,34.92
36.62,35.28,34.85
34.79,35.34,34.64
35.9,35.86,35.55
35.53,35.48,35.41
35.35,36.26,35.68
35.06,35.9,35.39
34.82,36.34,35.11
35.19,36.4,35.41
35.04,36.21,35.63
35,36.23,35.44
34.99,35.43,35.19
34.67,35.11,34.91
34.33,34.71,35.43
35.68,34.75,35.83
34.85,34.35,35.74
34.97,34.4,35.4
34.52,34.16,35.24
34.23,33.86,35.89
34.27,34.34,36.16
34.24,35.22,36.53
34.98,34.8,36.07
35.42,34.68,35.96
35.44,34.53,35.6
34.88,34.73,35.36
34.52,35.74,36.09
